txn_id,customer_id,txn_date,txn_amount,txn_type,merchant_category,txn_channel,city,is_declined,city_tier
TXN000000034,CUST0008902,2024-06-10,123.8,debit,healthcare,UPI,Hyderabad,0,tier1
TXN000000035,CUST0028504,2025-04-23,8449.72,credit,utilities,UPI,Lucknow,0,tier2
TXN000000036,CUST0021725,2025-03-15,902.15,credit,electronics,UPI,Surat,1,tier2
TXN000000037,CUST0003950,2025-10-16,757.27,credit,healthcare,UPI,Bengaluru,0,tier1
TXN000000038,CUST0018158,2025-01-04,366.31,credit,healthcare,UPI,Nagpur,0,tier2
TXN000000039,CUST0003153,2027-03-28,1590.13,debit,dining,UPI,Nagpur,1,tier2
TXN000000040,CUST0026860,2027-03-08,1229.54,debit,education,card,Mumbai,0,tier1
TXN000000041,CUST0025068,2025-03-14,4410.56,credit,healthcare,UPI,Patna,0,tier2
TXN000000042,CUST0020859,2026-10-06,459.14,debit,healthcare,UPI,Indore,0,tier2
TXN000000043,CUST0027696,2025-11-27,863.42,credit,electronics,card,Hyderabad,1,tier1
TXN000000044,CUST0012420,2026-08-06,555.26,debit,dining,card,Visakhapatnam,0,tier2
TXN000000045,CUST0010729,2025-03-24,1210.96,debit,fashion,UPI,Chennai,0,tier1
TXN000000046,CUST0011422,2024-10-31,4060.61,debit,fashion,UPI,Patna,0,tier2
TXN000000047,CUST0029590,2024-07-21,173.08,debit,utilities,UPI,Indore,0,tier2
TXN000000048,CUST0018585,2026-05-21,1117.82,debit,fashion,UPI,Mumbai,0,tier1
TXN000000049,CUST0028757,2026-03-05,2120.58,credit,fashion,card,Kolkata,0,tier1
TXN000000050,CUST0020566,2024-03-20,1181.91,debit,travel,UPI,Delhi,0,tier1
TXN000000051,CUST0018178,2025-01-24,978.9,debit,fashion,UPI,Chennai,0,tier1
TXN000000052,CUST0022596,2026-09-21,78.41,debit,groceries,card,Indore,0,tier2
TXN000000053,CUST0029966,2027-01-23,244.01,debit,entertainment,UPI,Surat,0,tier2
TXN000000054,CUST0022431,2024-05-25,407.38,debit,electronics,UPI,Jaipur,0,tier2
TXN000000055,CUST0026910,2025-04-06,526.33,credit,fuel,card,Patna,0,tier2
TXN000000056,CUST0017272,2027-06-12,322.98,debit,utilities,UPI,Hyderabad,0,tier1
TXN000000057,CUST0016638,2024-09-02,668.79,debit,healthcare,UPI,Kolkata,0,tier1
TXN000000058,CUST0023082,2025-03-20,462.17,debit,groceries,UPI,Nagpur,0,tier2
TXN000000059,CUST0020899,2026-04-09,267.41,debit,dining,card,Lucknow,0,tier2
TXN000000060,CUST0020042,2026-05-01,2438.29,debit,dining,card,Hyderabad,0,tier1
TXN000000061,CUST0018235,2027-03-27,2995.45,debit,dining,card,Jaipur,0,tier2
TXN000000062,CUST0018161,2026-11-03,4315.86,credit,groceries,card,Pune,0,tier1
TXN000000063,CUST0008039,2024-09-30,23815.77,credit,travel,UPI,Patna,0,tier2
TXN000000064,CUST0007444,2027-04-01,129.11,debit,travel,UPI,Kochi,0,tier2
TXN000000065,CUST0012821,2024-01-01,3231.51,debit,fashion,card,Bhopal,0,tier2
TXN000000066,CUST0028686,2024-10-26,1039.33,debit,fashion,card,Kolkata,0,tier1
TXN000000067,CUST0005935,2026-08-04,198.56,credit,fashion,UPI,Visakhapatnam,0,tier2
TXN000000068,CUST0004882,2024-07-28,402.17,refund,utilities,UPI,Kolkata,1,tier1
TXN000000069,CUST0010081,2026-06-14,2565.31,debit,electronics,UPI,Mumbai,0,tier1
TXN000000070,CUST0001639,2024-02-05,1560.27,debit,education,UPI,Surat,0,tier2
TXN000000071,CUST0003474,2024-04-01,553.59,refund,groceries,card,Pune,0,tier1
TXN000000072,CUST0011643,2025-02-05,62.75,debit,utilities,UPI,Bengaluru,0,tier1
TXN000000073,CUST0024539,2024-01-02,1787.94,debit,dining,UPI,Visakhapatnam,0,tier2
TXN000000074,CUST0017035,2027-03-30,825.81,debit,fuel,UPI,Pune,0,tier1
TXN000000075,CUST0029182,2025-03-15,14593.36,debit,electronics,UPI,Vadodara,0,tier2
TXN000000076,CUST0009037,2024-02-19,206.43,debit,education,UPI,Bengaluru,0,tier1
TXN000000077,CUST0000385,2026-06-14,541.74,debit,entertainment,UPI,Nagpur,0,tier2
TXN000000078,CUST0011824,2026-03-30,4695.16,debit,dining,card,Hyderabad,0,tier1
TXN000000079,CUST0013024,2024-05-05,3104.63,refund,dining,UPI,Patna,0,tier2
TXN000000080,CUST0022111,2025-11-07,268.95,credit,education,UPI,Jaipur,0,tier2
TXN000000081,CUST0010529,2024-11-29,83.51,debit,utilities,card,Mumbai,0,tier1
TXN000000082,CUST0020579,2026-10-03,4580.79,refund,utilities,UPI,Jaipur,0,tier2
TXN000000083,CUST0007048,2025-10-21,637.45,credit,fuel,UPI,Lucknow,0,tier2
TXN000000084,CUST0004082,2026-07-12,1787.23,debit,dining,UPI,Bhopal,0,tier2
TXN000000085,CUST0002119,2025-04-14,2375.37,debit,travel,card,Pune,0,tier1
TXN000000086,CUST0009351,2024-01-12,1076.94,debit,travel,card,Coimbatore,0,tier2
TXN000000087,CUST0025286,2025-07-01,2166.62,debit,healthcare,card,Patna,0,tier2
TXN000000088,CUST0020278,2026-09-15,798.2,debit,dining,card,Chennai,0,tier1
TXN000000089,CUST0028656,2025-07-15,287.11,debit,entertainment,UPI,Bengaluru,0,tier1
TXN000000090,CUST0022638,2026-05-05,227.28,debit,education,UPI,Mumbai,0,tier1
TXN000000091,CUST0015690,2026-04-11,4332.36,credit,fuel,card,Visakhapatnam,0,tier2
TXN000000092,CUST0015429,2026-04-05,1068.12,refund,education,card,Chennai,0,tier1
TXN000000093,CUST0029257,2026-08-11,390.18,debit,fuel,UPI,Bhopal,0,tier2
TXN000000094,CUST0024775,2026-12-02,1348.18,debit,groceries,UPI,Surat,0,tier2
TXN000000095,CUST0010409,2026-01-06,1135.86,debit,travel,card,Hyderabad,0,tier1
TXN000000096,CUST0009335,2024-08-17,1049.02,refund,dining,UPI,Ahmedabad,0,tier2
TXN000000097,CUST0016131,2024-04-16,2856.04,debit,fuel,card,Coimbatore,0,tier2
TXN000000098,CUST0022419,2024-07-13,2398.41,credit,fashion,UPI,Kolkata,0,tier1
TXN000000099,CUST0014636,2025-07-02,699.64,credit,fashion,UPI,Hyderabad,0,tier1
TXN000000100,CUST0018200,2025-08-06,669.4,debit,electronics,card,Kolkata,0,tier1
TXN000000101,CUST0009776,2026-08-06,451.56,refund,dining,UPI,Ahmedabad,0,tier2
TXN000000102,CUST0010943,2024-11-19,584.61,credit,education,UPI,Vadodara,0,tier2
TXN000000103,CUST0017338,2024-10-30,30197.8,debit,travel,UPI,Delhi,0,tier1
TXN000000104,CUST0025219,2025-04-21,138.03,debit,education,UPI,Chennai,0,tier1
TXN000000105,CUST0006439,2026-01-11,2596.24,debit,fuel,UPI,Bengaluru,0,tier1
TXN000000106,CUST0000751,2025-08-19,1095.59,debit,education,UPI,Bhopal,0,tier2
TXN000000107,CUST0029466,2026-03-09,1988.48,debit,groceries,UPI,Bhopal,0,tier2
TXN000000108,CUST0022269,2026-03-30,174.98,debit,dining,UPI,Ahmedabad,0,tier2
TXN000000109,CUST0001428,2024-08-22,304.42,debit,dining,UPI,Bengaluru,0,tier1
TXN000000110,CUST0016348,2024-11-13,250.89,debit,electronics,card,Mumbai,0,tier1
TXN000000111,CUST0024108,2026-04-07,3181.7,credit,dining,UPI,Mumbai,0,tier1
TXN000000112,CUST0019994,2027-01-05,3745.36,debit,groceries,UPI,Indore,0,tier2
TXN000000113,CUST0002158,2024-09-13,1405.27,debit,travel,UPI,Indore,0,tier2
TXN000000114,CUST0003779,2027-04-23,617.67,credit,education,UPI,Bengaluru,0,tier1
TXN000000115,CUST0013778,2026-04-13,795.48,debit,entertainment,UPI,Ahmedabad,1,tier2
TXN000000116,CUST0009565,2024-09-17,377.2,debit,utilities,UPI,Pune,0,tier1
TXN000000117,CUST0021273,2026-10-19,4799.82,debit,entertainment,card,Mumbai,0,tier1
TXN000000118,CUST0028849,2026-09-26,678.02,debit,fuel,card,Vadodara,0,tier2
TXN000000119,CUST0018362,2024-07-09,636.42,debit,dining,card,Surat,0,tier2
TXN000000120,CUST0006147,2024-10-14,101.5,debit,entertainment,UPI,Delhi,0,tier1
TXN000000121,CUST0015697,2025-12-05,14256.65,debit,fuel,UPI,Bengaluru,0,tier1
TXN000000122,CUST0016790,2024-01-24,2379.5,debit,travel,UPI,Pune,1,tier1
TXN000000123,CUST0025359,2027-03-25,363.88,debit,travel,card,Pune,0,tier1
TXN000000124,CUST0024495,2026-05-15,286.72,debit,fashion,card,Bengaluru,0,tier1
TXN000000125,CUST0016000,2026-12-16,677.67,credit,healthcare,UPI,Bengaluru,0,tier1
TXN000000126,CUST0002565,2025-05-30,409.46,debit,utilities,card,Ahmedabad,0,tier2
TXN000000127,CUST0009037,2026-10-26,1450.69,debit,education,card,Bengaluru,0,tier1
TXN000000128,CUST0026807,2025-07-29,1470.47,credit,groceries,card,Delhi,0,tier1
TXN000000129,CUST0019925,2024-05-23,1396.84,credit,fashion,card,Bengaluru,0,tier1
TXN000000130,CUST0001458,2025-10-21,243.32,debit,entertainment,UPI,Vadodara,0,tier2
TXN000000131,CUST0005476,2025-03-22,759.58,credit,fashion,card,Patna,0,tier2
TXN000000132,CUST0019048,2027-06-19,1169.8,debit,electronics,UPI,Bhopal,0,tier2
TXN000000133,CUST0006801,2027-01-24,150.33,credit,travel,UPI,Nagpur,0,tier2
TXN000000134,CUST0012687,2025-01-23,197.71,debit,travel,card,Vadodara,0,tier2
TXN000000135,CUST0022518,2024-05-16,673.92,debit,fashion,UPI,Hyderabad,0,tier1
TXN000000136,CUST0019448,2027-05-31,4602.42,debit,fuel,UPI,Kolkata,0,tier1
TXN000000137,CUST0000221,2024-06-28,632.46,debit,electronics,card,Coimbatore,0,tier2
TXN000000138,CUST0026708,2027-05-02,4034.82,credit,dining,UPI,Lucknow,0,tier2
TXN000000139,CUST0015995,2026-06-14,2550.78,debit,fuel,card,Ahmedabad,0,tier2
TXN000000140,CUST0004629,2024-12-03,1572.89,debit,healthcare,card,Vadodara,0,tier2
TXN000000141,CUST0029525,2025-11-01,5966.76,debit,healthcare,card,Pune,0,tier1
TXN000000142,CUST0003798,2025-12-27,1437.46,debit,fuel,card,Pune,0,tier1
TXN000000143,CUST0004177,2025-07-31,2827.02,debit,fuel,UPI,Kochi,0,tier2
TXN000000144,CUST0002409,2025-01-16,694.11,debit,fashion,UPI,Jaipur,0,tier2
TXN000000145,CUST0001726,2024-06-05,266.66,debit,utilities,UPI,Kochi,0,tier2
TXN000000146,CUST0014958,2026-03-18,222.83,debit,groceries,UPI,Bengaluru,0,tier1
TXN000000147,CUST0013350,2025-08-28,493.76,credit,fuel,card,Mumbai,0,tier1
TXN000000148,CUST0028276,2027-04-03,334.22,debit,entertainment,card,Mumbai,0,tier1
TXN000000149,CUST0003965,2025-06-02,678.3,debit,healthcare,UPI,Bhopal,0,tier2
TXN000000150,CUST0013582,2026-04-07,1201.43,refund,groceries,card,Kolkata,1,tier1
TXN000000151,CUST0004833,2024-01-15,170.81,debit,entertainment,UPI,Surat,0,tier2
TXN000000152,CUST0002763,2024-10-11,168.07,debit,utilities,UPI,Pune,0,tier1
TXN000000153,CUST0029157,2026-05-05,248.03,credit,entertainment,card,Delhi,0,tier1
TXN000000154,CUST0009551,2026-08-08,2847.27,debit,healthcare,card,Mumbai,0,tier1
TXN000000155,CUST0026045,2026-11-12,4266.61,credit,fashion,UPI,Visakhapatnam,0,tier2
TXN000000156,CUST0021318,2025-12-22,6101.13,debit,groceries,UPI,Jaipur,0,tier2
TXN000000157,CUST0028748,2027-01-14,278.12,debit,utilities,card,Indore,0,tier2
TXN000000158,CUST0016448,2024-06-20,3122.09,debit,healthcare,UPI,Bhopal,0,tier2
TXN000000159,CUST0014090,2026-01-08,498.86,debit,utilities,card,Hyderabad,0,tier1
TXN000000160,CUST0008951,2024-09-07,647.41,credit,fashion,card,Nagpur,0,tier2
TXN000000161,CUST0006394,2025-07-20,382.3,debit,dining,card,Jaipur,0,tier2
TXN000000162,CUST0003463,2026-05-02,381.05,credit,fuel,card,Patna,0,tier2
TXN000000163,CUST0007263,2026-03-10,737.97,refund,entertainment,card,Pune,0,tier1
TXN000000164,CUST0025452,2027-02-27,1274.42,debit,electronics,card,Mumbai,0,tier1
TXN000000165,CUST0010985,2025-03-10,5025.84,credit,groceries,card,Mumbai,0,tier1
TXN000000166,CUST0015664,2024-09-12,1592.71,debit,groceries,card,Surat,0,tier2
TXN000000167,CUST0027025,2027-05-03,1182.38,debit,utilities,card,Jaipur,1,tier2
TXN000000168,CUST0019473,2025-09-01,489.25,refund,utilities,card,Hyderabad,0,tier1
TXN000000169,CUST0027721,2026-05-07,348.21,refund,groceries,UPI,Ahmedabad,0,tier2
TXN000000170,CUST0014691,2027-01-14,358.68,credit,electronics,UPI,Kolkata,0,tier1
TXN000000171,CUST0014061,2024-07-08,834.66,credit,entertainment,UPI,Kolkata,0,tier1
TXN000000172,CUST0023704,2024-10-28,2827.82,debit,healthcare,UPI,Chennai,0,tier1
TXN000000173,CUST0025958,2024-01-13,650.69,debit,fashion,card,Delhi,0,tier1
TXN000000174,CUST0012176,2027-06-05,7533.56,debit,education,card,Jaipur,0,tier2
TXN000000175,CUST0009859,2024-04-27,4425.88,refund,travel,UPI,Ahmedabad,0,tier2
TXN000000176,CUST0021462,2025-08-30,769.6,debit,electronics,UPI,Delhi,0,tier1
TXN000000177,CUST0005457,2026-07-28,546.07,debit,groceries,UPI,Hyderabad,0,tier1
TXN000000178,CUST0000929,2024-05-07,448.72,debit,education,UPI,Mumbai,0,tier1
TXN000000179,CUST0007964,2024-12-22,5302.1,debit,dining,UPI,Lucknow,0,tier2
TXN000000180,CUST0002302,2024-02-21,629.02,refund,utilities,card,Patna,0,tier2
TXN000000181,CUST0013013,2027-06-25,3310.21,debit,electronics,card,Patna,0,tier2
TXN000000182,CUST0021630,2024-05-17,513.03,credit,groceries,UPI,Kochi,0,tier2
TXN000000183,CUST0002543,2027-06-01,763.75,debit,travel,UPI,Chennai,0,tier1
TXN000000184,CUST0000641,2025-12-05,862.49,debit,groceries,UPI,Delhi,0,tier1
TXN000000185,CUST0014456,2026-11-08,2458.95,debit,travel,UPI,Mumbai,0,tier1
TXN000000186,CUST0019206,2025-10-27,1047.14,debit,entertainment,UPI,Patna,0,tier2
TXN000000187,CUST0002712,2027-02-22,69.78,debit,fashion,UPI,Surat,0,tier2
TXN000000188,CUST0006456,2027-03-21,726.49,debit,education,card,Hyderabad,0,tier1
TXN000000189,CUST0015553,2024-08-02,1495.59,credit,education,card,Delhi,0,tier1
TXN000000190,CUST0001253,2026-07-26,454.18,debit,education,UPI,Ahmedabad,0,tier2
TXN000000191,CUST0012707,2025-05-29,1422.69,debit,travel,card,Visakhapatnam,0,tier2
TXN000000192,CUST0010851,2024-11-10,2966.69,debit,utilities,UPI,Delhi,0,tier1
TXN000000193,CUST0006936,2026-12-04,2920.13,credit,travel,UPI,Coimbatore,0,tier2
TXN000000194,CUST0005706,2027-04-11,12089.13,debit,entertainment,UPI,Nagpur,0,tier2
TXN000000195,CUST0005544,2026-12-05,3771.32,credit,fashion,UPI,Surat,0,tier2
TXN000000196,CUST0020932,2025-05-07,2678.33,debit,fuel,UPI,Hyderabad,0,tier1
TXN000000197,CUST0006790,2026-03-12,70.63,refund,fuel,UPI,Bengaluru,0,tier1
TXN000000198,CUST0011961,2026-07-27,2235.71,credit,fuel,UPI,Vadodara,0,tier2
TXN000000199,CUST0016200,2026-06-10,10259.0,debit,education,card,Mumbai,0,tier1
TXN000000200,CUST0014681,2024-09-09,655.3,debit,education,UPI,Patna,0,tier2
TXN000000201,CUST0000236,2024-10-02,397.41,debit,dining,UPI,Ahmedabad,0,tier2
TXN000000202,CUST0015726,2024-09-02,1399.94,credit,fuel,UPI,Pune,0,tier1
TXN000000203,CUST0023012,2025-07-15,58951.07,debit,education,UPI,Nagpur,0,tier2
TXN000000204,CUST0006818,2027-02-10,259.56,debit,healthcare,UPI,Hyderabad,0,tier1
TXN000000205,CUST0017664,2024-01-25,920.94,credit,entertainment,UPI,Kolkata,1,tier1
TXN000000206,CUST0029803,2024-07-31,4872.66,credit,fashion,UPI,Mumbai,0,tier1
TXN000000207,CUST0022257,2027-06-28,1777.11,debit,dining,UPI,Mumbai,0,tier1
TXN000000208,CUST0016720,2024-11-17,123.66,debit,fashion,UPI,Nagpur,0,tier2
TXN000000209,CUST0005446,2026-12-29,483.91,debit,fashion,card,Surat,0,tier2
TXN000000210,CUST0019513,2026-02-04,546.63,debit,fashion,card,Indore,0,tier2
TXN000000211,CUST0013780,2024-08-13,368.42,refund,travel,UPI,Kolkata,0,tier1
TXN000000212,CUST0026526,2026-01-16,11914.15,debit,healthcare,UPI,Delhi,0,tier1
TXN000000213,CUST0016286,2024-08-02,4198.53,credit,groceries,card,Ahmedabad,0,tier2
TXN000000214,CUST0015425,2026-03-10,43.26,debit,fuel,card,Vadodara,0,tier2
TXN000000215,CUST0018331,2026-10-13,1419.42,debit,dining,UPI,Hyderabad,0,tier1
TXN000000216,CUST0026741,2026-06-15,1974.52,debit,fashion,card,Pune,0,tier1
TXN000000217,CUST0015897,2024-04-27,296.76,debit,fuel,UPI,Chennai,1,tier1
TXN000000218,CUST0022576,2026-09-09,7979.34,debit,healthcare,UPI,Kolkata,0,tier1
TXN000000219,CUST0013368,2026-01-26,4226.18,debit,entertainment,card,Coimbatore,0,tier2
TXN000000220,CUST0009490,2026-01-01,1324.53,refund,education,UPI,Mumbai,0,tier1
TXN000000221,CUST0013863,2024-08-17,9319.73,debit,fuel,UPI,Surat,0,tier2
TXN000000222,CUST0008384,2026-01-16,6452.28,debit,travel,card,Hyderabad,0,tier1
TXN000000223,CUST0020284,2027-02-11,2697.51,credit,education,UPI,Visakhapatnam,0,tier2
TXN000000224,CUST0002815,2027-06-11,4105.64,debit,entertainment,UPI,Patna,0,tier2
TXN000000225,CUST0001025,2025-11-12,3157.27,refund,utilities,UPI,Mumbai,1,tier1
TXN000000226,CUST0000889,2025-02-14,2581.04,refund,dining,card,Kolkata,0,tier1
TXN000000227,CUST0013069,2026-01-25,613.23,credit,fashion,card,Bhopal,0,tier2
TXN000000228,CUST0026270,2026-07-12,200.32,debit,dining,UPI,Hyderabad,0,tier1
TXN000000229,CUST0021511,2027-02-02,1663.7,debit,entertainment,card,Coimbatore,0,tier2
TXN000000230,CUST0010009,2025-10-16,1182.18,debit,groceries,UPI,Ahmedabad,0,tier2
TXN000000231,CUST0029273,2025-12-09,1230.98,debit,healthcare,card,Chennai,0,tier1
TXN000000232,CUST0002991,2024-01-06,323.08,debit,fuel,UPI,Patna,0,tier2
TXN000000233,CUST0000993,2026-07-19,253.69,debit,healthcare,UPI,Bengaluru,0,tier1
TXN000000234,CUST0021672,2026-05-02,1558.34,credit,education,card,Patna,0,tier2
TXN000000235,CUST0028839,2026-11-02,568.89,debit,education,UPI,Delhi,0,tier1
TXN000000236,CUST0006733,2025-01-19,3103.67,debit,fuel,UPI,Delhi,0,tier1
TXN000000237,CUST0007786,2024-09-30,1541.68,debit,travel,UPI,Mumbai,0,tier1
TXN000000238,CUST0024551,2025-09-04,1720.31,debit,dining,UPI,Coimbatore,0,tier2
TXN000000239,CUST0014937,2027-01-16,749.79,debit,healthcare,UPI,Bengaluru,0,tier1
TXN000000240,CUST0003730,2024-02-11,4908.43,debit,fashion,UPI,Surat,0,tier2
TXN000000241,CUST0004500,2027-01-16,1069.18,debit,electronics,UPI,Surat,0,tier2
TXN000000242,CUST0018434,2024-10-17,1256.12,debit,groceries,UPI,Nagpur,0,tier2
TXN000000243,CUST0025531,2024-05-07,219.07,debit,utilities,UPI,Pune,0,tier1
TXN000000244,CUST0006811,2024-11-20,1140.37,debit,travel,card,Indore,0,tier2
TXN000000245,CUST0002243,2027-01-08,1887.1,debit,electronics,card,Bengaluru,0,tier1
TXN000000246,CUST0016956,2026-07-30,1855.83,debit,utilities,card,Pune,0,tier1
TXN000000247,CUST0001409,2025-11-20,794.2,credit,utilities,UPI,Kolkata,0,tier1
TXN000000248,CUST0001189,2027-02-14,465.89,debit,travel,UPI,Kochi,0,tier2
TXN000000249,CUST0028465,2025-02-22,284.77,debit,electronics,card,Patna,0,tier2
TXN000000250,CUST0010861,2025-10-06,720.18,debit,utilities,UPI,Delhi,0,tier1
TXN000000251,CUST0025861,2027-06-26,391.28,debit,electronics,card,Mumbai,0,tier1
TXN000000252,CUST0019316,2025-07-31,689.92,debit,utilities,card,Surat,0,tier2
TXN000000253,CUST0021964,2026-12-24,10278.46,credit,dining,card,Ahmedabad,0,tier2
TXN000000254,CUST0019376,2025-05-09,1807.63,debit,travel,card,Lucknow,0,tier2
TXN000000255,CUST0023754,2027-03-03,8180.38,debit,education,UPI,Lucknow,0,tier2
TXN000000256,CUST0018992,2026-02-12,1314.9,debit,education,UPI,Delhi,0,tier1
TXN000000257,CUST0023439,2026-11-26,8361.53,refund,education,card,Indore,0,tier2
TXN000000258,CUST0011021,2026-12-29,3221.01,credit,electronics,UPI,Bhopal,0,tier2
TXN000000259,CUST0001485,2024-02-05,897.25,credit,fuel,card,Patna,0,tier2
TXN000000260,CUST0005550,2025-01-14,1419.46,credit,entertainment,UPI,Indore,0,tier2
TXN000000261,CUST0007043,2027-03-27,3797.74,debit,fashion,UPI,Pune,0,tier1
TXN000000262,CUST0010397,2024-05-18,1170.04,debit,travel,UPI,Delhi,0,tier1
TXN000000263,CUST0025393,2024-09-05,573.95,debit,fashion,UPI,Indore,0,tier2
TXN000000264,CUST0003310,2024-12-13,1674.25,debit,groceries,UPI,Surat,0,tier2
TXN000000265,CUST0009747,2025-02-04,779.24,debit,electronics,UPI,Hyderabad,0,tier1
TXN000000266,CUST0019246,2024-05-01,2252.91,debit,fashion,UPI,Hyderabad,0,tier1
TXN000000267,CUST0029257,2026-09-24,146.96,credit,dining,UPI,Bhopal,0,tier2
TXN000000268,CUST0021258,2024-02-28,10848.68,debit,groceries,card,Coimbatore,0,tier2
TXN000000269,CUST0014509,2026-09-05,56.81,credit,fashion,UPI,Surat,0,tier2
TXN000000270,CUST0019709,2026-03-02,721.55,debit,groceries,UPI,Bhopal,0,tier2
TXN000000271,CUST0018045,2027-05-06,3123.51,debit,entertainment,UPI,Bhopal,0,tier2
TXN000000272,CUST0009486,2026-11-24,1430.44,credit,entertainment,UPI,Kolkata,0,tier1
TXN000000273,CUST0015732,2024-08-25,639.96,credit,electronics,UPI,Ahmedabad,0,tier2
TXN000000274,CUST0003097,2026-02-21,523.15,debit,fashion,UPI,Patna,0,tier2
TXN000000275,CUST0022960,2026-02-04,1348.44,debit,groceries,card,Pune,0,tier1
TXN000000276,CUST0021598,2025-03-23,7098.84,debit,utilities,UPI,Bhopal,0,tier2
TXN000000277,CUST0022884,2026-06-21,1144.72,refund,dining,UPI,Kochi,0,tier2
TXN000000278,CUST0016701,2025-11-09,1046.31,debit,fuel,UPI,Coimbatore,0,tier2
TXN000000279,CUST0008802,2025-07-04,605.24,debit,dining,card,Ahmedabad,0,tier2
TXN000000280,CUST0007629,2024-03-22,1211.74,debit,travel,card,Mumbai,0,tier1
TXN000000281,CUST0023087,2027-05-23,468.81,debit,groceries,UPI,Bengaluru,0,tier1
TXN000000282,CUST0012612,2024-08-28,1766.13,debit,entertainment,card,Coimbatore,0,tier2
TXN000000283,CUST0009251,2025-03-20,3615.46,refund,utilities,UPI,Hyderabad,0,tier1
TXN000000284,CUST0008257,2025-05-09,6487.35,credit,entertainment,UPI,Indore,0,tier2
TXN000000285,CUST0025746,2026-10-27,299.22,refund,education,UPI,Ahmedabad,0,tier2
TXN000000286,CUST0014421,2026-10-06,4459.39,debit,education,card,Pune,0,tier1
TXN000000287,CUST0009633,2027-04-13,30.08,refund,travel,UPI,Kolkata,0,tier1
TXN000000288,CUST0016430,2025-12-06,927.02,debit,fuel,UPI,Kochi,0,tier2
TXN000000289,CUST0011555,2024-05-04,65.67,credit,dining,UPI,Lucknow,0,tier2
TXN000000290,CUST0025625,2025-12-19,510.69,debit,entertainment,UPI,Mumbai,0,tier1
TXN000000291,CUST0009533,2024-03-11,1043.25,debit,travel,card,Patna,0,tier2
TXN000000292,CUST0028411,2025-10-19,9407.41,credit,fashion,UPI,Patna,0,tier2
TXN000000293,CUST0013592,2027-01-11,23456.38,debit,fashion,UPI,Bengaluru,0,tier1
TXN000000294,CUST0010100,2026-05-01,1887.73,debit,electronics,UPI,Chennai,0,tier1
