loan_id,customer_id,loan_amount,tenure_months,interest_rate,disbursal_date,city,income_band,credit_score_band,acquisition_channel
LN00000063,CUST0011995,218443.7,12,14.58,2024-05-28,Lucknow,3-6L,650-850,affiliate
LN00000064,CUST0029237,43227.78,18,11.63,2024-09-28,Bengaluru,<3L,650-850,affiliate
LN00000065,CUST0028707,361850.67,12,18.19,2024-09-12,Vadodara,6-10L,600-650,affiliate
LN00000066,CUST0024289,243190.27,36,15.26,2025-05-31,Ahmedabad,6-10L,600-650,organic
LN00000067,CUST0008410,631069.74,24,26.5,2024-01-19,Mumbai,6-10L,300-550,affiliate
LN00000068,CUST0028304,1164024.79,18,21.2,2024-10-30,Bengaluru,10-15L,550-600,DSA
LN00000069,CUST0022075,182129.58,18,10.34,2024-02-26,Coimbatore,3-6L,650-850,DSA
LN00000070,CUST0019420,1149371.84,24,19.16,2024-11-25,Chennai,10-15L,600-650,organic
LN00000071,CUST0024399,60794.83,18,17.89,2025-05-11,Visakhapatnam,<3L,600-650,affiliate
LN00000072,CUST0022810,220299.22,24,11.53,2024-02-22,Pune,6-10L,650-850,referral
LN00000073,CUST0002593,662938.84,18,15.31,2024-02-13,Bengaluru,6-10L,600-650,organic
LN00000074,CUST0024923,1333370.6,24,10.95,2025-06-06,Lucknow,>15L,650-850,affiliate
LN00000075,CUST0003001,659910.27,36,11.78,2024-12-03,Delhi,6-10L,650-850,organic
LN00000076,CUST0017134,55126.76,36,15.37,2024-02-21,Bhopal,3-6L,650-850,organic
LN00000077,CUST0024444,565853.07,12,16.49,2024-10-24,Ahmedabad,6-10L,600-650,referral
LN00000078,CUST0005157,532694.01,12,19.24,2024-12-24,Visakhapatnam,6-10L,550-600,affiliate
LN00000079,CUST0020267,334692.26,18,23.19,2024-06-11,Surat,6-10L,550-600,referral
LN00000080,CUST0004981,89597.35,18,10.39,2024-05-24,Mumbai,3-6L,650-850,organic
LN00000081,CUST0003844,278415.29,36,13.3,2024-12-19,Pune,6-10L,650-850,referral
LN00000082,CUST0028671,94870.09,12,24.5,2025-01-27,Pune,3-6L,300-550,DSA
LN00000083,CUST0006993,1308034.48,18,15.34,2025-03-19,Coimbatore,10-15L,600-650,affiliate
LN00000084,CUST0023834,334617.32,18,23.83,2025-01-06,Kolkata,6-10L,550-600,affiliate
LN00000085,CUST0028440,11815.8,18,16.31,2024-08-01,Lucknow,<3L,600-650,affiliate
LN00000086,CUST0020287,1902660.9,12,12.84,2024-03-07,Bengaluru,>15L,650-850,referral
LN00000087,CUST0013987,621395.42,18,16.85,2024-04-12,Hyderabad,6-10L,600-650,app_store
LN00000088,CUST0016486,189449.77,24,11.91,2025-02-05,Jaipur,3-6L,650-850,affiliate
LN00000089,CUST0007153,12923.09,18,16.05,2024-07-18,Nagpur,<3L,600-650,affiliate
LN00000090,CUST0009612,212136.35,12,15.41,2024-12-19,Kolkata,6-10L,650-850,affiliate
LN00000091,CUST0002281,332365.76,18,15.87,2025-04-13,Kolkata,6-10L,650-850,app_store
LN00000092,CUST0010733,1313279.43,18,18.08,2024-03-20,Hyderabad,>15L,600-650,referral
LN00000093,CUST0005824,64337.9,18,19.45,2024-07-25,Nagpur,<3L,600-650,app_store
LN00000094,CUST0007373,11267.06,12,20.6,2024-07-23,Mumbai,<3L,550-600,organic
LN00000095,CUST0022058,927498.05,24,18.23,2024-11-10,Pune,>15L,550-600,affiliate
LN00000096,CUST0013972,2746344.06,18,12.97,2024-06-15,Mumbai,>15L,650-850,organic
LN00000097,CUST0028986,73010.79,18,19.34,2025-04-02,Lucknow,<3L,550-600,DSA
LN00000098,CUST0022924,1362699.94,24,15.45,2025-05-25,Mumbai,10-15L,650-850,DSA
LN00000099,CUST0027269,121844.78,12,19.13,2024-01-12,Kochi,3-6L,600-650,app_store
LN00000100,CUST0017468,760754.36,18,18.55,2024-08-04,Pune,10-15L,550-600,organic
LN00000101,CUST0016942,2250894.55,18,19.46,2024-10-21,Surat,>15L,550-600,referral
LN00000102,CUST0022478,262757.03,12,15.37,2024-04-12,Vadodara,3-6L,650-850,organic
LN00000103,CUST0000519,195661.72,36,17.36,2025-01-12,Hyderabad,3-6L,600-650,DSA
LN00000104,CUST0022355,12128.44,24,29.69,2024-09-19,Jaipur,<3L,300-550,referral
LN00000105,CUST0026364,67744.66,12,10.02,2024-03-31,Vadodara,<3L,650-850,referral
LN00000106,CUST0009352,46606.33,12,23.43,2024-08-24,Pune,<3L,550-600,organic
LN00000107,CUST0025952,941126.5,12,20.81,2025-01-24,Kolkata,10-15L,550-600,affiliate
LN00000108,CUST0005751,52335.19,24,16.36,2025-06-02,Chennai,3-6L,600-650,referral
LN00000109,CUST0027544,682699.58,12,22.01,2024-08-07,Chennai,6-10L,550-600,DSA
LN00000110,CUST0007667,1036858.12,18,15.08,2025-01-18,Ahmedabad,10-15L,650-850,DSA
LN00000111,CUST0022367,554247.45,36,10.23,2024-03-11,Mumbai,6-10L,650-850,DSA
LN00000112,CUST0024001,202401.61,24,27.02,2025-03-01,Kolkata,6-10L,300-550,organic
LN00000113,CUST0020805,11852.49,36,23.25,2025-03-21,Jaipur,<3L,550-600,organic
LN00000114,CUST0025833,245518.5,36,24.61,2025-02-08,Bhopal,6-10L,300-550,organic
LN00000115,CUST0003249,52893.53,12,10.31,2025-02-08,Pune,3-6L,650-850,DSA
LN00000116,CUST0021366,1083761.05,24,14.18,2024-06-03,Kochi,10-15L,650-850,organic
LN00000117,CUST0016991,77316.25,24,22.75,2024-06-11,Kolkata,3-6L,550-600,referral
LN00000118,CUST0014617,1440164.17,12,12.33,2024-05-05,Ahmedabad,10-15L,650-850,affiliate
LN00000119,CUST0018398,659930.91,18,23.97,2024-08-30,Mumbai,6-10L,300-550,organic
LN00000120,CUST0023752,312366.66,18,16.39,2024-06-13,Hyderabad,6-10L,600-650,DSA
LN00000121,CUST0029969,173507.12,36,11.65,2024-05-09,Patna,3-6L,650-850,referral
LN00000122,CUST0015596,160945.47,24,21.24,2024-04-10,Lucknow,3-6L,550-600,affiliate
LN00000123,CUST0000679,1655556.14,12,18.45,2024-09-06,Kochi,>15L,550-600,DSA
LN00000124,CUST0015828,42000.82,12,13.85,2024-04-02,Indore,<3L,650-850,organic
LN00000125,CUST0029265,136653.79,18,18.74,2024-11-16,Kolkata,3-6L,600-650,organic
LN00000126,CUST0004488,334485.81,36,16.05,2024-05-25,Bhopal,6-10L,600-650,DSA
LN00000127,CUST0003852,730370.31,18,29.14,2024-03-20,Pune,10-15L,300-550,organic
LN00000128,CUST0001580,589890.69,36,18.84,2024-04-19,Chennai,6-10L,600-650,affiliate
LN00000129,CUST0001134,651951.77,24,19.6,2025-02-27,Mumbai,10-15L,600-650,organic
LN00000130,CUST0005979,254623.28,18,10.58,2025-07-04,Vadodara,6-10L,650-850,affiliate
LN00000131,CUST0020309,13870.54,12,15.43,2024-09-01,Kolkata,<3L,600-650,organic
LN00000132,CUST0016240,266279.4,12,14.81,2024-11-24,Surat,6-10L,650-850,organic
LN00000133,CUST0015381,573831.1,24,18.78,2024-05-02,Delhi,10-15L,600-650,app_store
LN00000134,CUST0006237,1377475.47,12,25.93,2025-01-17,Patna,>15L,300-550,DSA
LN00000135,CUST0019644,43688.55,12,23.37,2024-12-30,Patna,<3L,550-600,DSA
LN00000136,CUST0001297,1302872.04,12,17.02,2024-02-29,Pune,10-15L,600-650,organic
LN00000137,CUST0017378,454736.76,36,10.95,2024-10-07,Surat,6-10L,650-850,organic
LN00000138,CUST0027044,46141.51,12,19.94,2024-05-24,Pune,<3L,550-600,organic
LN00000139,CUST0011125,640494.79,24,17.54,2024-01-23,Jaipur,6-10L,600-650,organic
LN00000140,CUST0023093,189998.36,18,12.62,2025-05-21,Coimbatore,3-6L,650-850,organic
LN00000141,CUST0023760,454023.5,12,20.22,2024-02-07,Visakhapatnam,6-10L,550-600,organic
LN00000142,CUST0007045,277970.49,24,10.71,2025-03-14,Chennai,3-6L,650-850,affiliate
LN00000143,CUST0006476,691835.87,36,20.57,2024-11-17,Chennai,6-10L,550-600,organic
LN00000144,CUST0000365,638861.76,24,16.61,2025-01-11,Hyderabad,6-10L,600-650,affiliate
LN00000145,CUST0024427,303566.25,12,20.47,2024-06-20,Bhopal,6-10L,550-600,referral
LN00000146,CUST0020260,695867.3,36,22.59,2025-04-20,Nagpur,6-10L,550-600,organic
LN00000147,CUST0019894,62282.62,18,15.34,2024-12-14,Mumbai,3-6L,600-650,DSA
LN00000148,CUST0027971,264410.29,24,18.66,2024-12-23,Delhi,6-10L,600-650,affiliate
LN00000149,CUST0024424,2218370.55,36,22.6,2025-03-25,Ahmedabad,>15L,300-550,affiliate
LN00000150,CUST0018015,117921.08,18,10.33,2025-05-17,Hyderabad,3-6L,650-850,referral
LN00000151,CUST0028357,527628.61,18,18.6,2024-01-03,Delhi,6-10L,600-650,DSA
LN00000152,CUST0025534,575533.64,18,10.46,2025-06-27,Kolkata,6-10L,650-850,organic
LN00000153,CUST0012632,211904.27,18,11.34,2024-01-27,Vadodara,6-10L,650-850,referral
LN00000154,CUST0016039,385056.62,12,13.33,2024-04-14,Chennai,6-10L,650-850,organic
LN00000155,CUST0023861,275032.07,36,12.06,2024-07-04,Nagpur,6-10L,650-850,organic
LN00000156,CUST0007866,45985.58,18,16.78,2024-01-26,Coimbatore,<3L,600-650,referral
LN00000157,CUST0024347,246752.39,12,19.75,2024-12-28,Bengaluru,6-10L,600-650,app_store
LN00000158,CUST0027440,655566.81,18,22.0,2024-04-23,Lucknow,6-10L,550-600,affiliate
LN00000159,CUST0009436,23687.82,12,23.91,2024-01-26,Coimbatore,<3L,550-600,referral
LN00000160,CUST0001199,554659.35,36,11.23,2025-06-10,Bengaluru,6-10L,650-850,referral
LN00000161,CUST0014773,666591.36,24,11.41,2024-11-16,Visakhapatnam,10-15L,650-850,affiliate
LN00000162,CUST0001729,1465607.21,18,20.3,2025-02-19,Chennai,10-15L,550-600,organic
LN00000163,CUST0004555,130654.97,18,18.94,2025-01-14,Bengaluru,3-6L,550-600,affiliate
LN00000164,CUST0016566,2760387.54,12,13.64,2024-10-01,Patna,>15L,650-850,organic
LN00000165,CUST0001398,365370.15,24,12.39,2024-05-21,Pune,6-10L,650-850,organic
LN00000166,CUST0023982,405181.69,18,23.51,2024-07-07,Surat,6-10L,550-600,organic
LN00000167,CUST0019303,126393.69,18,18.02,2025-03-07,Pune,3-6L,600-650,DSA
LN00000168,CUST0016915,230781.58,12,15.03,2025-01-30,Ahmedabad,6-10L,600-650,organic
LN00000169,CUST0007717,836027.65,18,21.14,2024-05-22,Mumbai,>15L,550-600,referral
LN00000170,CUST0009259,313034.58,12,15.24,2024-08-29,Chennai,6-10L,600-650,organic
LN00000171,CUST0024775,549442.93,18,14.37,2025-02-21,Surat,10-15L,650-850,referral
LN00000172,CUST0021145,291584.12,24,14.12,2024-01-27,Chennai,6-10L,650-850,DSA
LN00000173,CUST0015318,494427.73,12,13.11,2024-12-12,Bhopal,6-10L,650-850,referral
LN00000174,CUST0025018,81404.28,12,20.02,2025-07-03,Kochi,3-6L,550-600,affiliate
LN00000175,CUST0014707,1390889.38,18,17.42,2025-05-18,Mumbai,10-15L,600-650,referral
LN00000176,CUST0025727,609555.57,24,15.41,2025-03-11,Vadodara,6-10L,650-850,affiliate
LN00000177,CUST0010741,116174.01,12,18.59,2025-01-10,Bengaluru,3-6L,550-600,referral
LN00000178,CUST0023187,350804.94,18,16.35,2024-07-03,Coimbatore,6-10L,600-650,referral
LN00000179,CUST0011276,2548994.88,12,18.35,2024-04-01,Kochi,>15L,600-650,organic
LN00000180,CUST0009794,1082476.21,18,11.76,2024-09-21,Jaipur,10-15L,650-850,referral
LN00000181,CUST0017141,269682.91,18,13.49,2025-05-03,Pune,3-6L,650-850,affiliate
LN00000182,CUST0006312,2179072.14,18,17.86,2025-05-11,Indore,>15L,600-650,DSA
LN00000183,CUST0015158,15043.39,12,11.69,2025-05-24,Coimbatore,<3L,650-850,organic
LN00000184,CUST0029271,79719.54,12,15.54,2024-10-15,Hyderabad,<3L,600-650,app_store
LN00000185,CUST0022119,191780.79,24,18.85,2025-05-27,Chennai,3-6L,600-650,referral
LN00000186,CUST0021456,54115.47,36,19.14,2024-01-02,Kolkata,3-6L,550-600,organic
LN00000187,CUST0028913,35155.68,18,16.6,2024-06-28,Patna,<3L,600-650,app_store
LN00000188,CUST0017940,1086144.07,24,18.68,2024-07-23,Delhi,10-15L,600-650,referral
LN00000189,CUST0016042,517292.43,12,10.63,2024-09-18,Ahmedabad,6-10L,650-850,organic
LN00000190,CUST0021529,600949.35,18,16.86,2025-03-08,Chennai,6-10L,600-650,affiliate
LN00000191,CUST0000159,1013039.97,18,16.87,2025-01-30,Coimbatore,10-15L,600-650,DSA
LN00000192,CUST0022116,816461.43,24,10.3,2025-05-24,Chennai,10-15L,650-850,organic
LN00000193,CUST0005894,202046.89,24,19.71,2024-04-14,Visakhapatnam,3-6L,600-650,DSA
LN00000194,CUST0027348,348311.08,12,16.6,2024-07-23,Mumbai,6-10L,600-650,app_store
LN00000195,CUST0001397,365507.69,24,14.44,2025-03-14,Hyderabad,6-10L,650-850,organic
LN00000196,CUST0023589,1399563.55,36,15.88,2025-02-28,Kolkata,>15L,600-650,referral
LN00000197,CUST0026707,130460.32,24,14.81,2024-03-14,Hyderabad,3-6L,650-850,DSA
LN00000198,CUST0017646,69029.47,24,19.77,2025-01-19,Indore,<3L,550-600,DSA
LN00000199,CUST0017579,680531.37,12,12.67,2025-03-23,Patna,10-15L,650-850,organic
LN00000200,CUST0000739,685217.76,36,16.03,2024-09-05,Nagpur,10-15L,600-650,organic
LN00000201,CUST0018118,91921.52,12,23.59,2025-01-20,Visakhapatnam,3-6L,550-600,DSA
LN00000202,CUST0013206,627078.53,18,15.6,2025-01-21,Kolkata,6-10L,600-650,DSA
LN00000203,CUST0012608,63926.11,18,18.6,2025-04-12,Visakhapatnam,<3L,600-650,organic
LN00000204,CUST0022786,2817571.51,18,15.26,2024-09-02,Delhi,>15L,650-850,organic
LN00000205,CUST0001220,109270.8,36,21.91,2024-12-17,Patna,3-6L,550-600,affiliate
LN00000206,CUST0021257,46640.24,24,18.82,2024-12-23,Mumbai,<3L,600-650,DSA
LN00000207,CUST0014349,37169.65,12,22.2,2025-05-15,Pune,<3L,550-600,affiliate
LN00000208,CUST0015045,583745.64,36,15.29,2024-11-15,Pune,6-10L,650-850,organic
LN00000209,CUST0026661,49078.96,24,27.76,2024-06-13,Vadodara,<3L,300-550,referral
LN00000210,CUST0023953,1355627.03,24,18.16,2024-05-22,Nagpur,10-15L,600-650,organic
LN00000211,CUST0001173,2434136.52,12,23.66,2024-04-02,Kolkata,>15L,300-550,DSA
LN00000212,CUST0017288,156848.29,18,19.92,2024-07-17,Coimbatore,3-6L,600-650,organic
LN00000213,CUST0007610,392646.59,24,17.99,2025-07-01,Coimbatore,6-10L,600-650,organic
LN00000214,CUST0011037,68935.16,12,14.43,2024-02-17,Mumbai,<3L,650-850,DSA
LN00000215,CUST0013236,615010.52,12,18.94,2024-08-07,Vadodara,6-10L,600-650,affiliate
LN00000216,CUST0027647,77409.38,18,15.08,2024-12-10,Pune,3-6L,650-850,app_store
LN00000217,CUST0011679,67523.08,24,15.81,2024-07-02,Patna,3-6L,650-850,organic
LN00000218,CUST0010031,288742.32,18,12.45,2025-03-09,Bengaluru,6-10L,650-850,affiliate
LN00000219,CUST0027554,127239.52,18,10.97,2025-03-10,Delhi,3-6L,650-850,app_store
LN00000220,CUST0010172,1331569.93,18,17.13,2024-11-29,Nagpur,>15L,600-650,organic
LN00000221,CUST0016258,944139.03,18,18.31,2025-03-18,Hyderabad,10-15L,600-650,app_store
LN00000222,CUST0018384,1188557.49,12,18.96,2024-07-11,Jaipur,10-15L,550-600,app_store
LN00000223,CUST0016159,1217404.96,12,18.82,2024-01-19,Surat,>15L,550-600,organic
LN00000224,CUST0025022,1297326.89,12,22.71,2024-02-02,Lucknow,>15L,550-600,referral
LN00000225,CUST0029230,674730.6,18,13.38,2025-03-09,Nagpur,6-10L,650-850,organic
LN00000226,CUST0010880,507737.13,12,14.5,2025-01-03,Ahmedabad,6-10L,650-850,app_store
LN00000227,CUST0002957,130886.06,18,17.21,2024-05-02,Chennai,3-6L,600-650,organic
LN00000228,CUST0024140,695608.95,24,13.58,2025-03-18,Delhi,10-15L,650-850,DSA
LN00000229,CUST0005347,679809.24,18,23.8,2024-01-02,Vadodara,6-10L,550-600,DSA
LN00000230,CUST0026444,2955800.72,12,15.58,2024-07-16,Patna,>15L,650-850,DSA
LN00000231,CUST0010669,182283.89,12,12.33,2025-07-03,Mumbai,3-6L,650-850,organic
LN00000232,CUST0017446,134878.42,12,15.12,2024-06-05,Patna,3-6L,600-650,referral
LN00000233,CUST0002855,58120.28,12,11.22,2024-06-22,Delhi,3-6L,650-850,referral
LN00000234,CUST0019161,1498980.94,12,29.29,2025-06-02,Chennai,10-15L,300-550,referral
LN00000235,CUST0008563,73993.7,24,15.52,2025-01-17,Kolkata,<3L,650-850,referral
LN00000236,CUST0025896,549903.27,12,19.12,2024-06-20,Surat,6-10L,550-600,app_store
LN00000237,CUST0008527,364837.76,24,13.69,2024-11-16,Delhi,6-10L,650-850,DSA
LN00000238,CUST0014630,56920.99,12,22.02,2025-03-14,Patna,<3L,550-600,affiliate
LN00000239,CUST0008168,460837.71,12,16.76,2025-02-04,Kochi,6-10L,600-650,referral
LN00000240,CUST0001537,364511.62,12,25.74,2025-02-27,Kochi,6-10L,300-550,organic
LN00000241,CUST0015993,68192.88,24,21.11,2025-04-16,Delhi,<3L,550-600,app_store
LN00000242,CUST0017036,569242.53,36,14.99,2024-11-10,Coimbatore,6-10L,650-850,affiliate
LN00000243,CUST0022450,2956720.12,24,16.72,2024-04-27,Jaipur,>15L,600-650,referral
LN00000244,CUST0011267,2168115.74,36,13.52,2025-01-26,Nagpur,>15L,650-850,referral
LN00000245,CUST0029749,308489.13,12,15.84,2024-12-02,Kochi,6-10L,600-650,referral
LN00000246,CUST0006976,282167.4,12,11.03,2024-06-29,Surat,6-10L,650-850,organic
LN00000247,CUST0012999,210008.61,18,20.0,2024-10-20,Kolkata,3-6L,600-650,DSA
LN00000248,CUST0005308,1025537.03,18,22.53,2024-10-25,Pune,>15L,550-600,app_store
LN00000249,CUST0027680,128993.96,36,23.2,2024-02-01,Surat,3-6L,550-600,organic
LN00000250,CUST0001515,637497.29,36,23.8,2024-08-05,Kochi,6-10L,550-600,affiliate
LN00000251,CUST0018673,78326.9,12,22.42,2024-06-27,Coimbatore,<3L,550-600,organic
LN00000252,CUST0003028,166892.16,12,15.32,2024-06-06,Lucknow,3-6L,600-650,affiliate
LN00000253,CUST0023952,11193.25,18,24.43,2024-02-20,Bengaluru,<3L,300-550,organic
LN00000254,CUST0007527,1328735.12,18,14.85,2024-06-24,Chennai,10-15L,650-850,referral
LN00000255,CUST0021160,398314.05,18,16.94,2024-10-03,Chennai,6-10L,600-650,DSA
LN00000256,CUST0023381,225494.72,18,10.87,2025-06-21,Hyderabad,6-10L,650-850,DSA
LN00000257,CUST0002186,99000.36,36,18.44,2024-09-25,Indore,3-6L,600-650,DSA
LN00000258,CUST0023636,713550.93,36,13.02,2025-03-26,Patna,10-15L,650-850,DSA
LN00000259,CUST0009637,27295.42,18,10.08,2025-04-14,Chennai,<3L,650-850,affiliate
LN00000260,CUST0018983,294231.6,24,15.06,2025-04-13,Patna,3-6L,600-650,organic
LN00000261,CUST0025335,1207600.44,12,17.12,2024-02-19,Indore,10-15L,600-650,DSA
LN00000262,CUST0007646,2578569.73,36,15.99,2024-04-29,Kolkata,>15L,650-850,organic
LN00000263,CUST0019165,131804.56,12,15.27,2024-12-23,Nagpur,3-6L,650-850,affiliate
LN00000264,CUST0028728,562644.29,24,18.04,2024-05-27,Bhopal,6-10L,550-600,affiliate
LN00000265,CUST0008321,584972.31,24,12.06,2024-03-17,Jaipur,6-10L,650-850,organic
LN00000266,CUST0020490,1047228.0,12,19.81,2024-07-11,Kolkata,>15L,600-650,organic
LN00000267,CUST0012467,27729.28,12,19.93,2024-03-22,Delhi,<3L,550-600,organic
LN00000268,CUST0007786,245052.19,12,19.66,2025-02-10,Mumbai,6-10L,550-600,organic
LN00000269,CUST0016295,82433.37,12,21.95,2024-10-07,Kochi,3-6L,550-600,referral
LN00000270,CUST0004145,77140.35,18,18.42,2024-10-24,Hyderabad,<3L,550-600,referral
LN00000271,CUST0010803,101092.05,24,14.63,2024-08-01,Surat,3-6L,650-850,organic
LN00000272,CUST0028824,1246816.26,36,18.78,2024-02-05,Kochi,>15L,600-650,DSA
LN00000273,CUST0010212,251688.5,24,15.54,2025-02-24,Patna,3-6L,650-850,DSA
LN00000274,CUST0022169,2499865.26,36,21.77,2024-01-16,Delhi,>15L,550-600,organic
LN00000275,CUST0013160,259471.03,24,18.89,2025-01-06,Bhopal,3-6L,600-650,referral
LN00000276,CUST0007235,834441.09,36,18.45,2024-08-11,Nagpur,>15L,600-650,app_store
LN00000277,CUST0020011,1311769.68,24,22.79,2024-07-28,Chennai,10-15L,550-600,DSA
LN00000278,CUST0029719,179347.35,18,19.84,2025-01-12,Surat,3-6L,550-600,app_store
LN00000279,CUST0016341,450072.88,12,15.33,2025-05-12,Patna,6-10L,600-650,referral
LN00000280,CUST0020410,234157.38,12,14.38,2024-09-10,Hyderabad,3-6L,650-850,organic
LN00000281,CUST0017932,451061.91,18,21.48,2024-04-29,Vadodara,6-10L,550-600,affiliate
