loan_id,decline_rate_change,decline_spike_flag,avg_amount_change_pct,amount_drop_flag,upi_share_change_pp,upi_shift_flag,category_count_change,diversity_drop_flag,signals_firing,customer_id,credit_score_band,income_band,city,tenure_months,loan_amount
LN00000150,0.0,1,inf,0,1.0,0,2.0,0,1,CUST0018015,650-850,3-6L,Hyderabad,18,117921.08
LN00000160,0.0,1,-0.9201116290480863,1,0.0,0,0.0,0,2,CUST0001199,650-850,6-10L,Bengaluru,36,554659.35
LN00000161,0.0,1,inf,0,0.5,0,2.0,0,1,CUST0014773,650-850,10-15L,Visakhapatnam,24,666591.36
LN00000172,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0021145,650-850,6-10L,Chennai,24,291584.12
LN00000173,0.0,1,inf,0,0.6666666666666666,0,3.0,0,1,CUST0015318,650-850,6-10L,Bhopal,12,494427.73
LN00000175,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0014707,600-650,10-15L,Mumbai,18,1390889.38
LN00000176,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0025727,650-850,6-10L,Vadodara,24,609555.57
LN00000179,0.0,1,-0.8773696965355873,1,1.0,0,0.0,0,2,CUST0011276,600-650,>15L,Kochi,12,2548994.88
LN00000184,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0029271,600-650,<3L,Hyderabad,12,79719.54
LN00000185,0.0,1,-0.6861281682780245,1,-1.0,1,0.0,0,3,CUST0022119,600-650,3-6L,Chennai,24,191780.79
LN00000194,0.0,1,inf,0,1.0,0,3.0,0,1,CUST0027348,600-650,6-10L,Mumbai,12,348311.08
LN00000198,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0017646,550-600,<3L,Indore,24,69029.47
LN00000200,0.0,1,-0.8940904507136941,1,1.0,0,0.0,0,2,CUST0000739,600-650,10-15L,Nagpur,36,685217.76
LN00000201,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0018118,550-600,3-6L,Visakhapatnam,12,91921.52
LN00000206,0.0,1,-0.42122375673499723,1,0.0,0,0.0,0,2,CUST0021257,600-650,<3L,Mumbai,24,46640.24
LN00000210,0.0,1,-0.8480102360427398,1,1.0,0,0.0,0,2,CUST0023953,600-650,10-15L,Nagpur,24,1355627.03
LN00000213,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0007610,600-650,6-10L,Coimbatore,24,392646.59
LN00000230,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0026444,650-850,>15L,Patna,12,2955800.72
LN00000239,0.0,1,inf,0,0.5,0,2.0,0,1,CUST0008168,600-650,6-10L,Kochi,12,460837.71
LN00000241,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0015993,550-600,<3L,Delhi,24,68192.88
LN00000242,0.0,1,-0.1849104771104288,0,-1.0,1,0.0,0,2,CUST0017036,650-850,6-10L,Coimbatore,36,569242.53
LN00000247,0.0,1,-0.8636414604327476,1,1.0,0,0.0,0,2,CUST0012999,600-650,3-6L,Kolkata,18,210008.61
LN00000248,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0005308,550-600,>15L,Pune,18,1025537.03
LN00000253,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0023952,300-550,<3L,Bengaluru,18,11193.25
LN00000254,0.0,1,-0.5422130633051373,1,-0.6666666666666667,1,1.0,0,3,CUST0007527,650-850,10-15L,Chennai,18,1328735.12
LN00000257,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0002186,600-650,3-6L,Indore,36,99000.36
LN00000268,0.0,1,inf,0,1.0,0,2.0,0,1,CUST0007786,550-600,6-10L,Mumbai,12,245052.19
LN00000269,0.0,1,-0.7899577390799821,1,-1.0,1,0.0,0,3,CUST0016295,550-600,3-6L,Kochi,12,82433.37
LN00000270,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0004145,550-600,<3L,Hyderabad,18,77140.35
LN00000274,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0022169,550-600,>15L,Delhi,36,2499865.26
LN00000279,0.0,1,0.6425030452395117,0,1.0,0,0.0,0,1,CUST0016341,600-650,6-10L,Patna,12,450072.88
LN00000280,0.0,1,-0.9856772651800816,1,-1.0,1,0.0,0,3,CUST0020410,650-850,3-6L,Hyderabad,12,234157.38
LN00000281,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0017932,550-600,6-10L,Vadodara,18,451061.91
LN00000287,0.0,1,-0.07777948822358059,0,1.0,0,0.0,0,1,CUST0021675,550-600,>15L,Chennai,12,2428384.52
LN00000288,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0003968,600-650,>15L,Delhi,12,2633103.53
LN00000290,0.0,1,0.7603372816280526,0,1.0,0,0.0,0,1,CUST0007856,600-650,<3L,Delhi,24,18155.91
LN00000292,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0003146,650-850,6-10L,Nagpur,12,227813.66
LN00000294,0.0,1,0.014696986413942967,0,0.0,0,0.0,0,1,CUST0021084,550-600,3-6L,Jaipur,18,99978.63
LN00000311,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0020131,650-850,<3L,Delhi,24,61988.18
LN00000312,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0025280,650-850,10-15L,Pune,18,666362.72
LN00000316,0.0,1,-0.4753065836760402,1,-1.0,1,0.0,0,3,CUST0016623,650-850,10-15L,Mumbai,18,1261786.38
LN00000339,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0012790,550-600,6-10L,Kolkata,18,539424.32
LN00000341,0.0,1,2.5212728979109458,0,-0.5,1,1.0,0,2,CUST0026254,650-850,10-15L,Pune,18,993939.33
LN00000343,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0003609,600-650,6-10L,Vadodara,24,278646.42
LN00000353,0.0,1,-0.9061524062854046,1,0.0,0,0.0,0,2,CUST0029658,650-850,>15L,Surat,24,1065934.54
LN00000358,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0015588,600-650,3-6L,Indore,24,147272.92
LN00000360,0.0,1,-0.3354296212549463,1,0.0,0,0.0,0,2,CUST0003330,600-650,6-10L,Kolkata,18,368611.26
LN00000361,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0014557,550-600,6-10L,Bhopal,18,473813.6
LN00000367,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0007725,600-650,>15L,Ahmedabad,18,1323803.34
LN00000371,0.0,1,1.480530573893519,0,-1.0,1,0.0,0,2,CUST0014559,550-600,10-15L,Chennai,18,1231405.18
LN00000374,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0017261,550-600,6-10L,Indore,12,522711.42
LN00000378,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0024757,650-850,3-6L,Indore,24,81658.11
LN00000382,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0025066,300-550,6-10L,Bhopal,24,507956.78
LN00000389,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0020515,300-550,3-6L,Delhi,36,87090.93
LN00000390,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0010939,600-650,10-15L,Indore,36,1296314.19
LN00000392,0.0,1,-0.4874054294615043,1,1.0,0,0.0,0,2,CUST0017945,600-650,6-10L,Vadodara,12,375314.14
LN00000394,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0024083,600-650,>15L,Pune,18,1420631.47
LN00000396,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0008699,600-650,10-15L,Delhi,18,740828.21
LN00000401,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0007918,600-650,10-15L,Kolkata,36,850013.94
LN00000405,-1.0,0,-0.14031663800995917,0,1.0,0,0.0,0,0,CUST0002654,550-600,>15L,Patna,12,2039663.07
LN00000417,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0001078,550-600,>15L,Patna,18,2495124.94
LN00000422,0.0,1,11.02309734061559,0,1.0,0,1.0,0,1,CUST0011000,600-650,6-10L,Lucknow,12,537494.5
LN00000426,0.0,1,-0.2565709307646926,0,0.0,0,0.0,0,1,CUST0024655,650-850,>15L,Hyderabad,18,878108.18
LN00000433,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0023215,550-600,3-6L,Kochi,36,244544.01
LN00000440,0.0,1,0.04301265478296369,0,0.0,0,0.0,0,1,CUST0013375,600-650,3-6L,Ahmedabad,18,228134.31
LN00000442,0.0,1,inf,0,0.5,0,2.0,0,1,CUST0016603,600-650,3-6L,Indore,18,91515.46
LN00000446,0.0,1,-0.5032293775764374,1,0.0,0,0.0,0,2,CUST0014342,650-850,>15L,Jaipur,36,2385679.86
LN00000448,-1.0,0,8.014175100597487,0,0.5,0,1.0,0,0,CUST0011891,600-650,6-10L,Surat,24,666550.68
LN00000471,0.0,1,-0.6371425674305414,1,1.0,0,0.0,0,2,CUST0022409,650-850,>15L,Vadodara,24,1331998.21
LN00000473,0.0,1,-0.6786377687591746,1,-1.0,1,0.0,0,3,CUST0000423,650-850,10-15L,Lucknow,18,1211683.42
LN00000475,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0000801,650-850,6-10L,Kolkata,24,539074.75
LN00000478,0.0,1,6.844988431972536,0,0.0,0,0.0,0,1,CUST0005900,600-650,3-6L,Jaipur,18,225634.39
LN00000480,-1.0,0,2.4284225501224115,0,-1.0,1,1.0,0,1,CUST0026606,650-850,6-10L,Bengaluru,36,646725.35
LN00000488,0.0,1,1.0051763064667123,0,0.5,0,1.0,0,1,CUST0003571,650-850,3-6L,Pune,12,237334.97
LN00000497,-0.5,0,4.383136310566258,0,0.0,0,-1.0,0,0,CUST0022526,300-550,>15L,Delhi,18,1747697.35
LN00000499,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0012151,300-550,6-10L,Delhi,24,338705.98
LN00000503,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0020265,550-600,10-15L,Kochi,24,649447.1
LN00000504,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0008045,650-850,10-15L,Mumbai,24,959700.66
LN00000505,0.0,1,inf,0,0.5,0,2.0,0,1,CUST0026163,650-850,3-6L,Mumbai,12,117300.85
LN00000512,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0017259,600-650,>15L,Chennai,12,1570409.93
LN00000523,0.3333333333333333,1,-0.3777343938735082,1,-0.33333333333333337,1,2.0,0,3,CUST0014620,600-650,6-10L,Lucknow,36,300443.77
LN00000524,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0003342,650-850,6-10L,Chennai,12,581346.0
LN00000533,0.0,1,inf,0,0.0,0,3.0,0,1,CUST0011675,650-850,10-15L,Bhopal,24,853165.04
LN00000534,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0011913,600-650,10-15L,Hyderabad,12,600099.49
LN00000553,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0000573,550-600,10-15L,Hyderabad,18,1379135.06
LN00000564,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0015014,600-650,<3L,Nagpur,12,47119.91
LN00000567,1.0,1,inf,0,0.0,0,1.0,0,1,CUST0017529,650-850,10-15L,Surat,36,545919.12
LN00000571,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0011601,650-850,>15L,Pune,18,1567092.75
LN00000576,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0025739,600-650,6-10L,Vadodara,12,603172.45
LN00000577,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0009448,550-600,3-6L,Indore,36,290924.0
LN00000578,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0001101,600-650,6-10L,Chennai,24,648571.41
LN00000580,0.0,1,39.33891838088918,0,-1.0,1,0.0,0,2,CUST0001244,550-600,6-10L,Kolkata,18,239168.52
LN00000585,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0029947,550-600,>15L,Vadodara,18,1491452.97
LN00000588,0.0,1,inf,0,0.5,0,2.0,0,1,CUST0019016,550-600,3-6L,Chennai,36,226170.05
LN00000601,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0000767,600-650,>15L,Delhi,12,2775693.74
LN00000609,0.0,1,-0.781632795740469,1,1.0,0,0.0,0,2,CUST0001636,650-850,10-15L,Chennai,24,803482.09
LN00000611,0.0,1,-0.8258698082075121,1,-0.16666666666666663,1,-1.0,0,3,CUST0026091,600-650,3-6L,Coimbatore,12,179136.83
LN00000614,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0019393,650-850,6-10L,Indore,36,642267.81
LN00000617,0.0,1,inf,0,0.5,0,2.0,0,1,CUST0000296,600-650,3-6L,Lucknow,24,143528.37
LN00000620,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0021800,550-600,3-6L,Surat,24,261016.66
LN00000622,0.0,1,inf,0,0.5,0,2.0,0,1,CUST0027652,600-650,>15L,Visakhapatnam,18,990740.29
LN00000623,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0013727,550-600,3-6L,Pune,36,164528.3
LN00000624,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0020946,600-650,6-10L,Kochi,18,614091.6
LN00000625,1.0,1,inf,0,0.0,0,1.0,0,1,CUST0013256,650-850,<3L,Nagpur,18,63362.83
LN00000626,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0026230,550-600,3-6L,Mumbai,18,247928.9
LN00000631,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0001266,650-850,>15L,Lucknow,18,2993875.16
LN00000633,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0021641,300-550,10-15L,Chennai,36,1203399.87
LN00000635,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0027262,600-650,>15L,Mumbai,36,1056032.61
LN00000637,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0026267,650-850,>15L,Indore,18,2460997.84
LN00000638,0.0,1,-0.9154718162646996,1,1.0,0,0.0,0,2,CUST0026060,300-550,3-6L,Hyderabad,18,257898.31
LN00000643,0.0,1,inf,0,1.0,0,2.0,0,1,CUST0002138,550-600,<3L,Bengaluru,24,72634.96
LN00000647,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0007136,600-650,10-15L,Kolkata,24,1129435.47
LN00000655,0.0,1,-0.5921569169796485,1,0.0,0,0.0,0,2,CUST0001736,550-600,6-10L,Bengaluru,18,524518.1
LN00000658,0.0,1,1.1394643048353295,0,0.0,0,-1.0,0,1,CUST0029104,650-850,6-10L,Lucknow,12,281973.69
LN00000662,0.0,1,inf,0,1.0,0,2.0,0,1,CUST0007117,600-650,10-15L,Pune,12,1473913.68
LN00000670,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0027048,600-650,6-10L,Lucknow,24,512309.77
LN00000673,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0027156,550-600,3-6L,Pune,18,116399.94
LN00000684,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0003081,600-650,3-6L,Delhi,18,81587.07
LN00000697,0.0,1,-0.4113242459754518,1,0.0,0,0.0,0,2,CUST0006316,650-850,3-6L,Bengaluru,36,121499.64
LN00000703,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0011907,650-850,3-6L,Bengaluru,18,96202.56
LN00000704,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0009719,550-600,3-6L,Patna,36,176552.76
LN00000707,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0005384,650-850,<3L,Bhopal,18,22799.68
LN00000712,1.0,1,inf,0,1.0,0,1.0,0,1,CUST0010788,550-600,3-6L,Ahmedabad,12,227057.49
LN00000714,0.0,1,0.9997322949622782,0,1.0,0,0.0,0,1,CUST0010036,600-650,6-10L,Indore,12,204931.6
LN00000730,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0015002,650-850,3-6L,Bengaluru,36,274306.02
LN00000733,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0009071,650-850,6-10L,Bengaluru,18,416547.29
LN00000742,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0006122,550-600,6-10L,Hyderabad,24,294731.93
LN00000744,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0020005,650-850,3-6L,Delhi,18,62665.39
LN00000745,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0004845,650-850,10-15L,Patna,24,1230174.45
LN00000746,1.0,1,inf,0,0.0,0,1.0,0,1,CUST0020950,600-650,6-10L,Delhi,12,373164.92
LN00000748,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0024257,650-850,6-10L,Hyderabad,36,477381.51
LN00000750,0.0,1,inf,0,0.0,0,2.0,0,1,CUST0019552,550-600,3-6L,Lucknow,18,239413.4
LN00000753,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0000804,650-850,10-15L,Kochi,24,1488028.83
LN00000757,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0004506,600-650,10-15L,Vadodara,12,849917.39
LN00000759,0.0,1,inf,0,1.0,0,2.0,0,1,CUST0027863,650-850,6-10L,Jaipur,18,293986.36
LN00000763,0.0,1,1.0871807640321547,0,0.5,0,1.0,0,1,CUST0016324,550-600,10-15L,Mumbai,18,596403.32
LN00000765,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0007633,550-600,10-15L,Chennai,24,1048066.82
LN00000766,0.0,1,2.6175245815395787,0,0.0,0,0.0,0,1,CUST0025889,600-650,3-6L,Chennai,24,264329.91
LN00000780,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0028028,550-600,6-10L,Kochi,12,363667.62
LN00000787,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0003916,650-850,3-6L,Nagpur,24,161360.86
LN00000792,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0023776,600-650,3-6L,Ahmedabad,12,116482.54
LN00000797,0.0,1,inf,0,1.0,0,2.0,0,1,CUST0029903,600-650,<3L,Kochi,12,44222.06
LN00000801,0.0,1,4.602072192513369,0,1.0,0,0.0,0,1,CUST0026481,300-550,<3L,Bengaluru,24,62152.94
LN00000802,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0021865,600-650,<3L,Delhi,18,66219.65
LN00000804,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0023209,300-550,6-10L,Mumbai,12,398786.16
LN00000809,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0015891,550-600,3-6L,Kochi,24,94185.46
LN00000818,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0025347,650-850,10-15L,Coimbatore,18,1201040.99
LN00000819,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0008439,300-550,3-6L,Kolkata,12,220794.52
LN00000824,0.0,1,0.5582975304760905,0,0.0,0,0.0,0,1,CUST0024243,550-600,10-15L,Coimbatore,24,549852.27
LN00000830,0.0,1,1.8365243004418261,0,1.0,0,0.0,0,1,CUST0017506,650-850,3-6L,Nagpur,18,152257.15
LN00000842,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0016192,600-650,6-10L,Patna,18,651573.9
LN00000846,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0012758,650-850,10-15L,Patna,12,940262.54
LN00000849,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0008884,600-650,10-15L,Patna,12,872182.56
LN00000851,-1.0,0,-0.9634588150747183,1,0.0,0,0.0,0,1,CUST0020182,600-650,6-10L,Pune,18,670592.87
LN00000868,0.5,1,3.347452163975738,0,1.0,0,1.0,0,1,CUST0012623,300-550,10-15L,Hyderabad,18,819180.75
LN00000869,1.0,1,0.4979983668266646,0,0.0,0,0.0,0,1,CUST0016471,600-650,3-6L,Chennai,24,212827.54
LN00000874,0.0,1,inf,0,0.5,0,2.0,0,1,CUST0005144,550-600,6-10L,Delhi,12,689588.34
LN00000879,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0025101,650-850,<3L,Kochi,12,27503.67
LN00000880,0.0,1,-0.5164339552699865,1,0.0,0,0.0,0,2,CUST0004582,650-850,<3L,Patna,12,10525.36
LN00000882,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0028757,650-850,<3L,Kolkata,18,61889.19
LN00000883,1.0,1,inf,0,1.0,0,1.0,0,1,CUST0025391,650-850,6-10L,Mumbai,12,377282.64
LN00000887,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0005462,650-850,3-6L,Delhi,12,192817.07
LN00000892,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0021809,650-850,>15L,Jaipur,12,2835632.41
LN00000897,0.0,1,0.12557910480429,0,0.0,0,0.0,0,1,CUST0010223,550-600,10-15L,Chennai,18,1420110.68
LN00000898,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0026055,600-650,<3L,Vadodara,18,28325.77
LN00000899,1.0,1,14.968386293509448,0,1.0,0,0.0,0,1,CUST0012122,600-650,6-10L,Kochi,24,516242.92
LN00000902,0.0,1,inf,0,1.0,0,2.0,0,1,CUST0010427,650-850,<3L,Hyderabad,18,22094.18
LN00000908,0.0,1,-0.98582674300131,1,0.0,0,0.0,0,2,CUST0020253,550-600,3-6L,Visakhapatnam,24,132663.76
LN00000910,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0006035,600-650,>15L,Kolkata,36,2198554.25
LN00000911,0.0,1,inf,0,0.5,0,2.0,0,1,CUST0027224,650-850,3-6L,Pune,36,174776.21
LN00000912,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0004705,550-600,3-6L,Surat,18,279040.81
LN00000916,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0005448,550-600,3-6L,Mumbai,18,80237.73
LN00000922,0.0,1,-0.5153941744866672,1,1.0,0,0.0,0,2,CUST0012345,300-550,>15L,Hyderabad,36,2946450.18
LN00000930,0.0,1,3.750693568726356,0,-1.0,1,0.0,0,2,CUST0003407,600-650,3-6L,Bengaluru,36,296393.46
LN00000935,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0022003,300-550,>15L,Pune,24,2497759.5
LN00000937,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0029957,550-600,10-15L,Visakhapatnam,24,1060164.91
LN00000939,0.0,1,-0.9512407202688118,1,1.0,0,0.0,0,2,CUST0028737,550-600,>15L,Hyderabad,24,2402586.18
LN00000954,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0020211,600-650,<3L,Bengaluru,24,43245.98
LN00000956,1.0,1,inf,0,1.0,0,1.0,0,1,CUST0021558,550-600,3-6L,Surat,12,240814.99
LN00000963,0.0,1,-0.885476556292425,1,-0.5,1,1.0,0,3,CUST0018212,650-850,10-15L,Mumbai,24,767356.75
LN00000964,1.0,1,inf,0,1.0,0,1.0,0,1,CUST0011138,600-650,<3L,Bengaluru,18,15279.17
LN00000968,0.0,1,inf,0,0.5,0,2.0,0,1,CUST0019244,650-850,3-6L,Indore,18,238380.14
LN00000971,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0001118,600-650,3-6L,Chennai,36,201354.79
LN00000987,0.0,1,inf,0,1.0,0,2.0,0,1,CUST0016410,300-550,10-15L,Pune,18,843006.63
LN00000989,0.0,1,-0.972802715247392,1,0.0,0,0.0,0,2,CUST0018653,650-850,6-10L,Chennai,36,511212.63
LN00000992,0.0,1,inf,0,0.0,0,1.0,0,1,CUST0025950,600-650,3-6L,Chennai,12,90914.98
LN00000996,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0028539,550-600,10-15L,Delhi,18,1313889.2
LN00001010,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0003443,600-650,3-6L,Indore,24,204291.12
LN00001015,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0001245,600-650,6-10L,Bengaluru,24,509668.98
LN00001017,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0022746,550-600,3-6L,Delhi,18,170184.08
LN00001018,0.0,1,5.21654081855986,0,1.0,0,0.0,0,1,CUST0011395,300-550,6-10L,Bhopal,24,326897.41
LN00001021,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0024753,550-600,<3L,Vadodara,18,16725.28
LN00001022,0.0,1,37.79203934123238,0,1.0,0,-1.0,0,1,CUST0018653,550-600,10-15L,Mumbai,18,844073.16
LN00001032,0.0,1,-0.6322786423630022,1,0.0,0,1.0,0,2,CUST0003753,600-650,3-6L,Vadodara,24,298060.84
LN00001033,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0015430,650-850,6-10L,Bengaluru,18,522732.72
LN00001034,0.0,1,inf,0,1.0,0,1.0,0,1,CUST0002744,600-650,>15L,Kolkata,18,981657.59
