loan_id,customer_id,credit_score_band,income_band,city,city_tier,loan_amount,tenure_months,latest_dpd,had_recent_partial,signals_firing,decline_spike_flag,upi_shift_flag,amount_drop_flag,diversity_drop_flag,risk_score,score_reason,risk_tier
LN00000036,CUST0027134,300-550,3-6L,Patna,tier2,203004.94,36,0,False,0.0,,,,,5,band_300_550(+2) | income_3_6L(+1) | tier2_city(+1) | long_tenure(+1),Medium
LN00000037,CUST0017152,650-850,>15L,Jaipur,tier2,2803465.32,36,30,False,1.0,1.0,0.0,0.0,0.0,3,tier2_city(+1) | long_tenure(+1) | signals_1_firing(+1),Low
LN00000038,CUST0028990,300-550,3-6L,Hyderabad,tier1,67299.31,36,0,False,3.0,1.0,1.0,1.0,0.0,7,band_300_550(+2) | income_3_6L(+1) | long_tenure(+1) | signals_3_firing(+3),High
LN00000039,CUST0016101,300-550,3-6L,Pune,tier1,127294.19,12,1,False,0.0,,,,,5,band_300_550(+2) | income_3_6L(+1) | dpd_1_29(+2),Medium
LN00000040,CUST0002788,550-600,10-15L,Ahmedabad,tier2,592045.51,24,0,False,0.0,,,,,2,band_550_600(+1) | tier2_city(+1),Low
LN00000041,CUST0010053,600-650,10-15L,Mumbai,tier1,915508.16,18,30,False,3.0,1.0,1.0,1.0,0.0,6,band_600_650(+3) | signals_3_firing(+3),Medium
LN00000042,CUST0006130,300-550,10-15L,Visakhapatnam,tier2,1460993.9,24,0,False,0.0,,,,,3,band_300_550(+2) | tier2_city(+1),Low
LN00000043,CUST0022921,300-550,3-6L,Ahmedabad,tier2,241277.65,18,0,False,0.0,,,,,4,band_300_550(+2) | income_3_6L(+1) | tier2_city(+1),Medium
LN00000044,CUST0009397,550-600,6-10L,Visakhapatnam,tier2,661409.99,12,0,False,0.0,,,,,2,band_550_600(+1) | tier2_city(+1),Low
LN00000045,CUST0003346,550-600,3-6L,Pune,tier1,268684.37,24,0,False,0.0,,,,,2,band_550_600(+1) | income_3_6L(+1),Low
LN00000046,CUST0006786,650-850,6-10L,Ahmedabad,tier2,417145.76,18,0,False,0.0,,,,,1,tier2_city(+1),Low
LN00000047,CUST0026518,600-650,3-6L,Kolkata,tier1,207845.12,18,0,False,0.0,,,,,4,band_600_650(+3) | income_3_6L(+1),Medium
LN00000048,CUST0015220,650-850,10-15L,Mumbai,tier1,1098945.2,12,0,False,0.0,,,,,0,no_risk_factors,Low
LN00000049,CUST0016035,600-650,<3L,Vadodara,tier2,21055.03,12,0,False,0.0,,,,,6,band_600_650(+3) | income_lt3L(+2) | tier2_city(+1),Medium
LN00000050,CUST0002513,300-550,<3L,Kolkata,tier1,49289.9,24,0,False,3.0,1.0,1.0,1.0,0.0,7,band_300_550(+2) | income_lt3L(+2) | signals_3_firing(+3),High
LN00000051,CUST0007043,550-600,6-10L,Pune,tier1,487792.08,24,0,False,0.0,,,,,1,band_550_600(+1),Low
LN00000052,CUST0003948,550-600,>15L,Chennai,tier1,2464618.74,18,0,False,0.0,,,,,1,band_550_600(+1),Low
LN00000053,CUST0003109,600-650,>15L,Kolkata,tier1,843170.28,12,0,False,0.0,,,,,3,band_600_650(+3),Low
LN00000054,CUST0015762,600-650,>15L,Nagpur,tier2,1855594.3,36,30,True,1.0,1.0,0.0,0.0,0.0,8,band_600_650(+3) | tier2_city(+1) | long_tenure(+1) | signals_1_firing(+1) | recent_partial_pay(+2),High
LN00000055,CUST0024565,650-850,6-10L,Nagpur,tier2,650275.85,18,0,False,2.0,0.0,1.0,1.0,0.0,2,tier2_city(+1) | signals_2_firing(+1),Low
LN00000056,CUST0005663,600-650,<3L,Patna,tier2,34126.0,12,90,True,1.0,1.0,0.0,0.0,0.0,9,band_600_650(+3) | income_lt3L(+2) | tier2_city(+1) | signals_1_firing(+1) | recent_partial_pay(+2),High
LN00000057,CUST0018786,650-850,3-6L,Visakhapatnam,tier2,178246.68,12,0,False,1.0,1.0,0.0,0.0,0.0,3,income_3_6L(+1) | tier2_city(+1) | signals_1_firing(+1),Low
LN00000058,CUST0018262,650-850,10-15L,Kolkata,tier1,1048775.94,18,1,False,0.0,,,,,2,dpd_1_29(+2),Low
LN00000059,CUST0000333,650-850,3-6L,Chennai,tier1,207927.25,24,0,False,0.0,,,,,1,income_3_6L(+1),Low
LN00000060,CUST0026624,650-850,3-6L,Pune,tier1,178576.69,24,0,False,0.0,,,,,1,income_3_6L(+1),Low
LN00000061,CUST0026006,650-850,<3L,Bengaluru,tier1,56596.9,12,0,False,3.0,0.0,1.0,1.0,1.0,5,income_lt3L(+2) | signals_3_firing(+3),Medium
LN00000062,CUST0007758,650-850,6-10L,Indore,tier2,605793.83,24,0,False,0.0,,,,,1,tier2_city(+1),Low
LN00000063,CUST0011995,650-850,3-6L,Lucknow,tier2,218443.7,12,0,False,0.0,,,,,2,income_3_6L(+1) | tier2_city(+1),Low
LN00000064,CUST0029237,650-850,<3L,Bengaluru,tier1,43227.78,18,0,False,3.0,1.0,1.0,1.0,0.0,5,income_lt3L(+2) | signals_3_firing(+3),Medium
LN00000065,CUST0028707,600-650,6-10L,Vadodara,tier2,361850.67,12,0,False,0.0,,,,,4,band_600_650(+3) | tier2_city(+1),Medium
LN00000066,CUST0024289,600-650,6-10L,Ahmedabad,tier2,243190.27,36,90,True,0.0,,,,,7,band_600_650(+3) | tier2_city(+1) | long_tenure(+1) | recent_partial_pay(+2),High
LN00000067,CUST0008410,300-550,6-10L,Mumbai,tier1,631069.74,24,0,False,0.0,,,,,2,band_300_550(+2),Low
LN00000068,CUST0028304,550-600,10-15L,Bengaluru,tier1,1164024.79,18,1,False,0.0,,,,,3,band_550_600(+1) | dpd_1_29(+2),Low
LN00000069,CUST0022075,650-850,3-6L,Coimbatore,tier2,182129.58,18,0,False,0.0,,,,,2,income_3_6L(+1) | tier2_city(+1),Low
LN00000070,CUST0019420,600-650,10-15L,Chennai,tier1,1149371.84,24,0,False,3.0,1.0,1.0,1.0,0.0,6,band_600_650(+3) | signals_3_firing(+3),Medium
LN00000071,CUST0024399,600-650,<3L,Visakhapatnam,tier2,60794.83,18,15,False,0.0,,,,,8,band_600_650(+3) | income_lt3L(+2) | tier2_city(+1) | dpd_1_29(+2),High
LN00000072,CUST0022810,650-850,6-10L,Pune,tier1,220299.22,24,1,False,0.0,,,,,2,dpd_1_29(+2),Low
LN00000073,CUST0002593,600-650,6-10L,Bengaluru,tier1,662938.84,18,0,False,0.0,,,,,3,band_600_650(+3),Low
LN00000074,CUST0024923,650-850,>15L,Lucknow,tier2,1333370.6,24,90,False,2.0,1.0,0.0,1.0,0.0,2,tier2_city(+1) | signals_2_firing(+1),Low
LN00000075,CUST0003001,650-850,6-10L,Delhi,tier1,659910.27,36,1,False,0.0,,,,,3,long_tenure(+1) | dpd_1_29(+2),Low
LN00000076,CUST0017134,650-850,3-6L,Bhopal,tier2,55126.76,36,0,False,0.0,,,,,3,income_3_6L(+1) | tier2_city(+1) | long_tenure(+1),Low
LN00000077,CUST0024444,600-650,6-10L,Ahmedabad,tier2,565853.07,12,7,False,0.0,,,,,6,band_600_650(+3) | tier2_city(+1) | dpd_1_29(+2),Medium
LN00000078,CUST0005157,550-600,6-10L,Visakhapatnam,tier2,532694.01,12,0,False,0.0,,,,,2,band_550_600(+1) | tier2_city(+1),Low
LN00000079,CUST0020267,550-600,6-10L,Surat,tier2,334692.26,18,0,False,0.0,,,,,2,band_550_600(+1) | tier2_city(+1),Low
LN00000080,CUST0004981,650-850,3-6L,Mumbai,tier1,89597.35,18,0,False,0.0,,,,,1,income_3_6L(+1),Low
LN00000081,CUST0003844,650-850,6-10L,Pune,tier1,278415.29,36,15,False,2.0,1.0,0.0,1.0,0.0,4,long_tenure(+1) | signals_2_firing(+1) | dpd_1_29(+2),Medium
LN00000082,CUST0028671,300-550,3-6L,Pune,tier1,94870.09,12,0,False,0.0,,,,,3,band_300_550(+2) | income_3_6L(+1),Low
LN00000083,CUST0006993,600-650,10-15L,Coimbatore,tier2,1308034.48,18,1,False,3.0,1.0,1.0,1.0,0.0,9,band_600_650(+3) | tier2_city(+1) | signals_3_firing(+3) | dpd_1_29(+2),High
LN00000084,CUST0023834,550-600,6-10L,Kolkata,tier1,334617.32,18,1,False,0.0,,,,,3,band_550_600(+1) | dpd_1_29(+2),Low
LN00000085,CUST0028440,600-650,<3L,Lucknow,tier2,11815.8,18,0,False,3.0,1.0,1.0,1.0,0.0,9,band_600_650(+3) | income_lt3L(+2) | tier2_city(+1) | signals_3_firing(+3),High
LN00000086,CUST0020287,650-850,>15L,Bengaluru,tier1,1902660.9,12,0,False,3.0,1.0,1.0,1.0,0.0,3,signals_3_firing(+3),Low
LN00000087,CUST0013987,600-650,6-10L,Hyderabad,tier1,621395.42,18,0,False,0.0,,,,,3,band_600_650(+3),Low
LN00000088,CUST0016486,650-850,3-6L,Jaipur,tier2,189449.77,24,0,False,0.0,,,,,2,income_3_6L(+1) | tier2_city(+1),Low
LN00000089,CUST0007153,600-650,<3L,Nagpur,tier2,12923.09,18,90,True,0.0,,,,,8,band_600_650(+3) | income_lt3L(+2) | tier2_city(+1) | recent_partial_pay(+2),High
LN00000090,CUST0009612,650-850,6-10L,Kolkata,tier1,212136.35,12,0,False,3.0,1.0,1.0,1.0,0.0,3,signals_3_firing(+3),Low
LN00000091,CUST0002281,650-850,6-10L,Kolkata,tier1,332365.76,18,0,False,1.0,1.0,0.0,0.0,0.0,1,signals_1_firing(+1),Low
LN00000092,CUST0010733,600-650,>15L,Hyderabad,tier1,1313279.43,18,90,True,0.0,,,,,5,band_600_650(+3) | recent_partial_pay(+2),Medium
LN00000093,CUST0005824,600-650,<3L,Nagpur,tier2,64337.9,18,90,True,4.0,1.0,1.0,1.0,1.0,11,band_600_650(+3) | income_lt3L(+2) | tier2_city(+1) | signals_4_firing(+3) | recent_partial_pay(+2),High
LN00000094,CUST0007373,550-600,<3L,Mumbai,tier1,11267.06,12,7,False,1.0,1.0,0.0,0.0,0.0,6,band_550_600(+1) | income_lt3L(+2) | signals_1_firing(+1) | dpd_1_29(+2),Medium
LN00000095,CUST0022058,550-600,>15L,Pune,tier1,927498.05,24,0,False,3.0,1.0,1.0,1.0,0.0,4,band_550_600(+1) | signals_3_firing(+3),Medium
LN00000096,CUST0013972,650-850,>15L,Mumbai,tier1,2746344.06,18,0,False,0.0,,,,,0,no_risk_factors,Low
LN00000097,CUST0028986,550-600,<3L,Lucknow,tier2,73010.79,18,0,False,2.0,1.0,0.0,1.0,0.0,5,band_550_600(+1) | income_lt3L(+2) | tier2_city(+1) | signals_2_firing(+1),Medium
LN00000098,CUST0022924,650-850,10-15L,Mumbai,tier1,1362699.94,24,0,False,0.0,,,,,0,no_risk_factors,Low
LN00000099,CUST0027269,600-650,3-6L,Kochi,tier2,121844.78,12,0,False,0.0,,,,,5,band_600_650(+3) | income_3_6L(+1) | tier2_city(+1),Medium
LN00000100,CUST0017468,550-600,10-15L,Pune,tier1,760754.36,18,0,False,0.0,,,,,1,band_550_600(+1),Low
LN00000101,CUST0016942,550-600,>15L,Surat,tier2,2250894.55,18,0,False,0.0,,,,,2,band_550_600(+1) | tier2_city(+1),Low
LN00000102,CUST0022478,650-850,3-6L,Vadodara,tier2,262757.03,12,0,False,0.0,,,,,2,income_3_6L(+1) | tier2_city(+1),Low
LN00000103,CUST0000519,600-650,3-6L,Hyderabad,tier1,195661.72,36,0,False,0.0,,,,,5,band_600_650(+3) | income_3_6L(+1) | long_tenure(+1),Medium
LN00000104,CUST0022355,300-550,<3L,Jaipur,tier2,12128.44,24,90,True,0.0,,,,,7,band_300_550(+2) | income_lt3L(+2) | tier2_city(+1) | recent_partial_pay(+2),High
LN00000105,CUST0026364,650-850,<3L,Vadodara,tier2,67744.66,12,0,False,0.0,,,,,3,income_lt3L(+2) | tier2_city(+1),Low
LN00000106,CUST0009352,550-600,<3L,Pune,tier1,46606.33,12,0,False,1.0,1.0,0.0,0.0,0.0,4,band_550_600(+1) | income_lt3L(+2) | signals_1_firing(+1),Medium
LN00000107,CUST0025952,550-600,10-15L,Kolkata,tier1,941126.5,12,0,False,1.0,1.0,0.0,0.0,0.0,2,band_550_600(+1) | signals_1_firing(+1),Low
LN00000108,CUST0005751,600-650,3-6L,Chennai,tier1,52335.19,24,0,False,0.0,,,,,4,band_600_650(+3) | income_3_6L(+1),Medium
LN00000109,CUST0027544,550-600,6-10L,Chennai,tier1,682699.58,12,0,False,0.0,,,,,1,band_550_600(+1),Low
LN00000110,CUST0007667,650-850,10-15L,Ahmedabad,tier2,1036858.12,18,0,False,4.0,1.0,1.0,1.0,1.0,4,tier2_city(+1) | signals_4_firing(+3),Medium
LN00000111,CUST0022367,650-850,6-10L,Mumbai,tier1,554247.45,36,7,False,0.0,,,,,3,long_tenure(+1) | dpd_1_29(+2),Low
LN00000112,CUST0024001,300-550,6-10L,Kolkata,tier1,202401.61,24,0,False,0.0,,,,,2,band_300_550(+2),Low
LN00000113,CUST0020805,550-600,<3L,Jaipur,tier2,11852.49,36,0,False,0.0,,,,,5,band_550_600(+1) | income_lt3L(+2) | tier2_city(+1) | long_tenure(+1),Medium
LN00000114,CUST0025833,300-550,6-10L,Bhopal,tier2,245518.5,36,1,False,0.0,,,,,6,band_300_550(+2) | tier2_city(+1) | long_tenure(+1) | dpd_1_29(+2),Medium
LN00000115,CUST0003249,650-850,3-6L,Pune,tier1,52893.53,12,0,False,0.0,,,,,1,income_3_6L(+1),Low
LN00000116,CUST0021366,650-850,10-15L,Kochi,tier2,1083761.05,24,1,False,0.0,,,,,3,tier2_city(+1) | dpd_1_29(+2),Low
LN00000117,CUST0016991,550-600,3-6L,Kolkata,tier1,77316.25,24,30,False,0.0,,,,,2,band_550_600(+1) | income_3_6L(+1),Low
LN00000118,CUST0014617,650-850,10-15L,Ahmedabad,tier2,1440164.17,12,0,False,0.0,,,,,1,tier2_city(+1),Low
LN00000119,CUST0018398,300-550,6-10L,Mumbai,tier1,659930.91,18,90,True,0.0,,,,,4,band_300_550(+2) | recent_partial_pay(+2),Medium
LN00000120,CUST0023752,600-650,6-10L,Hyderabad,tier1,312366.66,18,90,True,0.0,,,,,5,band_600_650(+3) | recent_partial_pay(+2),Medium
LN00000121,CUST0029969,650-850,3-6L,Patna,tier2,173507.12,36,0,False,0.0,,,,,3,income_3_6L(+1) | tier2_city(+1) | long_tenure(+1),Low
LN00000122,CUST0015596,550-600,3-6L,Lucknow,tier2,160945.47,24,0,False,0.0,,,,,3,band_550_600(+1) | income_3_6L(+1) | tier2_city(+1),Low
LN00000123,CUST0000679,550-600,>15L,Kochi,tier2,1655556.14,12,0,False,1.0,1.0,0.0,0.0,0.0,3,band_550_600(+1) | tier2_city(+1) | signals_1_firing(+1),Low
LN00000124,CUST0015828,650-850,<3L,Indore,tier2,42000.82,12,15,False,0.0,,,,,5,income_lt3L(+2) | tier2_city(+1) | dpd_1_29(+2),Medium
LN00000125,CUST0029265,600-650,3-6L,Kolkata,tier1,136653.79,18,90,True,1.0,1.0,0.0,0.0,0.0,7,band_600_650(+3) | income_3_6L(+1) | signals_1_firing(+1) | recent_partial_pay(+2),High
LN00000126,CUST0004488,600-650,6-10L,Bhopal,tier2,334485.81,36,90,True,1.0,1.0,0.0,0.0,0.0,8,band_600_650(+3) | tier2_city(+1) | long_tenure(+1) | signals_1_firing(+1) | recent_partial_pay(+2),High
LN00000127,CUST0003852,300-550,10-15L,Pune,tier1,730370.31,18,1,False,0.0,,,,,4,band_300_550(+2) | dpd_1_29(+2),Medium
LN00000128,CUST0001580,600-650,6-10L,Chennai,tier1,589890.69,36,60,True,0.0,,,,,6,band_600_650(+3) | long_tenure(+1) | recent_partial_pay(+2),Medium
LN00000129,CUST0001134,600-650,10-15L,Mumbai,tier1,651951.77,24,90,True,1.0,1.0,0.0,0.0,0.0,6,band_600_650(+3) | signals_1_firing(+1) | recent_partial_pay(+2),Medium
LN00000130,CUST0005979,650-850,6-10L,Vadodara,tier2,254623.28,18,0,False,0.0,,,,,1,tier2_city(+1),Low
LN00000131,CUST0020309,600-650,<3L,Kolkata,tier1,13870.54,12,0,False,0.0,,,,,5,band_600_650(+3) | income_lt3L(+2),Medium
LN00000132,CUST0016240,650-850,6-10L,Surat,tier2,266279.4,12,0,False,0.0,,,,,1,tier2_city(+1),Low
LN00000133,CUST0015381,600-650,10-15L,Delhi,tier1,573831.1,24,15,False,0.0,,,,,5,band_600_650(+3) | dpd_1_29(+2),Medium
LN00000134,CUST0006237,300-550,>15L,Patna,tier2,1377475.47,12,90,False,0.0,,,,,3,band_300_550(+2) | tier2_city(+1),Low
LN00000135,CUST0019644,550-600,<3L,Patna,tier2,43688.55,12,0,False,1.0,1.0,0.0,0.0,0.0,5,band_550_600(+1) | income_lt3L(+2) | tier2_city(+1) | signals_1_firing(+1),Medium
LN00000136,CUST0001297,600-650,10-15L,Pune,tier1,1302872.04,12,90,True,0.0,,,,,5,band_600_650(+3) | recent_partial_pay(+2),Medium
LN00000137,CUST0017378,650-850,6-10L,Surat,tier2,454736.76,36,0,False,0.0,,,,,2,tier2_city(+1) | long_tenure(+1),Low
LN00000138,CUST0027044,550-600,<3L,Pune,tier1,46141.51,12,15,False,0.0,,,,,5,band_550_600(+1) | income_lt3L(+2) | dpd_1_29(+2),Medium
LN00000139,CUST0011125,600-650,6-10L,Jaipur,tier2,640494.79,24,90,True,0.0,,,,,6,band_600_650(+3) | tier2_city(+1) | recent_partial_pay(+2),Medium
LN00000140,CUST0023093,650-850,3-6L,Coimbatore,tier2,189998.36,18,0,False,0.0,,,,,2,income_3_6L(+1) | tier2_city(+1),Low
LN00000141,CUST0023760,550-600,6-10L,Visakhapatnam,tier2,454023.5,12,0,False,0.0,,,,,2,band_550_600(+1) | tier2_city(+1),Low
LN00000142,CUST0007045,650-850,3-6L,Chennai,tier1,277970.49,24,0,False,0.0,,,,,1,income_3_6L(+1),Low
LN00000143,CUST0006476,550-600,6-10L,Chennai,tier1,691835.87,36,0,False,3.0,1.0,1.0,1.0,0.0,5,band_550_600(+1) | long_tenure(+1) | signals_3_firing(+3),Medium
LN00000144,CUST0000365,600-650,6-10L,Hyderabad,tier1,638861.76,24,15,True,0.0,,,,,7,band_600_650(+3) | recent_partial_pay(+2) | dpd_1_29(+2),High
LN00000145,CUST0024427,550-600,6-10L,Bhopal,tier2,303566.25,12,0,False,1.0,1.0,0.0,0.0,0.0,3,band_550_600(+1) | tier2_city(+1) | signals_1_firing(+1),Low
LN00000146,CUST0020260,550-600,6-10L,Nagpur,tier2,695867.3,36,0,False,0.0,,,,,3,band_550_600(+1) | tier2_city(+1) | long_tenure(+1),Low
LN00000147,CUST0019894,600-650,3-6L,Mumbai,tier1,62282.62,18,90,True,0.0,,,,,6,band_600_650(+3) | income_3_6L(+1) | recent_partial_pay(+2),Medium
LN00000148,CUST0027971,600-650,6-10L,Delhi,tier1,264410.29,24,90,True,1.0,1.0,0.0,0.0,0.0,6,band_600_650(+3) | signals_1_firing(+1) | recent_partial_pay(+2),Medium
LN00000149,CUST0024424,300-550,>15L,Ahmedabad,tier2,2218370.55,36,0,False,1.0,1.0,0.0,0.0,0.0,5,band_300_550(+2) | tier2_city(+1) | long_tenure(+1) | signals_1_firing(+1),Medium
LN00000150,CUST0018015,650-850,3-6L,Hyderabad,tier1,117921.08,18,0,False,1.0,1.0,0.0,0.0,0.0,2,income_3_6L(+1) | signals_1_firing(+1),Low
LN00000151,CUST0028357,600-650,6-10L,Delhi,tier1,527628.61,18,90,True,0.0,,,,,5,band_600_650(+3) | recent_partial_pay(+2),Medium
LN00000152,CUST0025534,650-850,6-10L,Kolkata,tier1,575533.64,18,15,False,0.0,,,,,2,dpd_1_29(+2),Low
LN00000153,CUST0012632,650-850,6-10L,Vadodara,tier2,211904.27,18,0,False,0.0,,,,,1,tier2_city(+1),Low
LN00000154,CUST0016039,650-850,6-10L,Chennai,tier1,385056.62,12,0,False,0.0,,,,,0,no_risk_factors,Low
LN00000155,CUST0023861,650-850,6-10L,Nagpur,tier2,275032.07,36,1,False,0.0,,,,,4,tier2_city(+1) | long_tenure(+1) | dpd_1_29(+2),Medium
LN00000156,CUST0007866,600-650,<3L,Coimbatore,tier2,45985.58,18,30,False,0.0,,,,,6,band_600_650(+3) | income_lt3L(+2) | tier2_city(+1),Medium
LN00000157,CUST0024347,600-650,6-10L,Bengaluru,tier1,246752.39,12,0,False,0.0,,,,,3,band_600_650(+3),Low
LN00000158,CUST0027440,550-600,6-10L,Lucknow,tier2,655566.81,18,0,False,0.0,,,,,2,band_550_600(+1) | tier2_city(+1),Low
LN00000159,CUST0009436,550-600,<3L,Coimbatore,tier2,23687.82,12,1,False,0.0,,,,,6,band_550_600(+1) | income_lt3L(+2) | tier2_city(+1) | dpd_1_29(+2),Medium
LN00000160,CUST0001199,650-850,6-10L,Bengaluru,tier1,554659.35,36,0,False,2.0,1.0,0.0,1.0,0.0,2,long_tenure(+1) | signals_2_firing(+1),Low
LN00000161,CUST0014773,650-850,10-15L,Visakhapatnam,tier2,666591.36,24,0,False,1.0,1.0,0.0,0.0,0.0,2,tier2_city(+1) | signals_1_firing(+1),Low
LN00000162,CUST0001729,550-600,10-15L,Chennai,tier1,1465607.21,18,7,False,0.0,,,,,3,band_550_600(+1) | dpd_1_29(+2),Low
LN00000163,CUST0004555,550-600,3-6L,Bengaluru,tier1,130654.97,18,0,False,0.0,,,,,2,band_550_600(+1) | income_3_6L(+1),Low
LN00000164,CUST0016566,650-850,>15L,Patna,tier2,2760387.54,12,0,False,2.0,1.0,0.0,1.0,0.0,2,tier2_city(+1) | signals_2_firing(+1),Low
LN00000165,CUST0001398,650-850,6-10L,Pune,tier1,365370.15,24,0,False,0.0,,,,,0,no_risk_factors,Low
LN00000166,CUST0023982,550-600,6-10L,Surat,tier2,405181.69,18,0,False,2.0,1.0,0.0,1.0,0.0,3,band_550_600(+1) | tier2_city(+1) | signals_2_firing(+1),Low
LN00000167,CUST0019303,600-650,3-6L,Pune,tier1,126393.69,18,1,False,0.0,,,,,6,band_600_650(+3) | income_3_6L(+1) | dpd_1_29(+2),Medium
